,Performer Name,PID
0,BONE,0
1,BONE THUGS N HARMONY,1
2,BONE THUGS N HARMONY FEAT. EAZY-E,2
3,BONE THUGS-N-HARMONY,3
4,BONE THUGS-N-HARMONY (EDITED),4
5,BONE THUGS-N-HARMONY EAZY-E,5
6,DR. DRE JILL SCOTT ANDERSON PAAK & JON CONNOR,6
7,EASY E,7
8,EAZY-E,8
9,EAZY-E & BONE THUGS-N-HARMONY,9
10,GOODMAN V,10
11,GREENWOOD AND VESTAL,11
12,GREENWOOD L,12
13,GREENWOOD LAND GREENWOOD,13
14,LEE GREENWOOD,14
15,LEE GREENWOOD AND VESTAL,15
16,VESTAL AND GREENWOOD,16
17,VESTAL AND LEE GREENWOOD,17
18,VESTAL GOODMAN,18
19,ARLO GUTHRIE / PETE SEEGER,19
20,GUTHRIE A,20
21,GUTHRIE ARLO,21
22,SEEGER P,22
23,SEEGER PETE,23
24,DARIUS RUCKER,24
25,DARIUS RUCKER FEAT JILL SCOTT,25
26,JILL SCOTT,26
27,BROOKS AND WARINER,27
28,BROOKS G,28
29,GARTH BROOKS,29
30,STEVE WARINER,30
31,WAR S,31
32,WARINER AND BROOKS,32
33,WARINER S,33
34,WARINER STEVE W/GARTH BROOKS,34
35,DIXIE CHICKS,35
36,THE DIXIE CHICKS,36
37,A-TYPE PLAYER NICK LITTLEMORE PETER MAYES,37
38,AM ECHO,38
39,ANN MURRAY,39
40,ANNE MURRAY,40
41,ANNE MURRAY JOHN DENVER,41
42,BIG FOOT A LIST,42
43,BOBBY DARIN,43
44,BOBBY ROCK,44
45,BOBBY ROCK NATHAN NICHOLSON,45
46,CHER & GENE KLOSNER,46
47,FRAN FRIEDMAN,47
48,IRIS,48
49,JIM HARMON,49
50,JOHN DENVER,50
51,JOHN DENVER JOHN DENVER,51
52,JOHN DENVER JOHN DENVER JOHN DENVER,52
53,NEW ORLEANS RHYTHM KINGS PECORA NEWMAN,53
54,NICHOLAS JACK MARINO,54
55,NICK MARINO,55
56,ORIGINAL NEW ORLEANS RHYTHM KINGS,56
57,PETER HERBOLZHEIMER RHYTHM COMBINATION & BRAS,57
58,PETER KRAUS,58
59,PETER PAUL & MARY,59
60,PETER PAUL AND MARY,60
61,PETER SPENCE,61
62,ROBERT BASSETT,62
63,ROBERT GRAY,63
64,SARAH STRIGLER FRAN FRIEDMAN,64
65,SNAKES & DAGGERS SAMUEL DIKLICH BEN HEFFERN,65
66,THE SANDPIPERS,66
67,TIPPA IRIE,67
68,TIPPA IRIE PETER HUNNIGALE,68
69,TIPPA IRIE PETER HUNNIGALE OTHMAN MUKHLIS,69
70,TIPPA IRIE PETER HUNNIGALE TIPPA IRIE,70
71,TOMMY BOYCE BOBBY HART,71
72,ZUBILLIONAIRE AZUBUIKE WOKOCHA FOME PETERS,72
73,LENDESBORT LUIS,73
74,LENNOX BUPPY BROWN N ZUZA BOYS,74
75,"LENTZ, SARAH",75
76,KRAVITZ LENNY,76
77,LENNY KRAVITZ,77
78,LENNON J,78
79,LENNON JULIAN,79
80,ANNIE LENNOX,80
81,ANNIE LENNOX   1993,81
82,KIM SOZZI,82
83,LENNOX A,83
84,SOZZI K,84
85,JOHN LENEHAN,85
86,JULIAN LLOYD WEBBER,86
87,LENEHAN J,87
88,LLOYD WEBBER J,88
89,WEBBER J,89
90,LENDYAK MIKE,90
91,LENZ DANIEL,91
92,4 HIM,92
93,4HIM,93
94,ADAMS YOLANDA,94
95,AIR SUPPLY,95
96,ALABAMA,96
97,ALEJANDRO FERNANDEZ,97
98,AMOS T,98
99,ANDY WILLIAMS,99
100,ANGELA AGUILAR (HOLIDAY),100
101,ARIANA,101
102,ASHLEY OLSEN,102
103,ATKINS C,103
104,BABYFACE,104
105,BAEZ J,105
106,BEEGIE ADAIR TRIO,106
107,BEN E KING,107
108,BERRY J,108
109,BERRY JOHN,109
110,BETHEL MUSIC KIDS,110
111,BING CROSBY,111
112,BING CROSBY/DAVID BOWIE,112
113,BIRD D,113
114,BLIND BOYS OF ALABAMA,114
115,BOB AND HILLARY JAMES,115
116,BOB RIVERS,116
117,BOB RIVERS AND TWISTED RADIO,117
118,BOB SEGER,118
119,BOSTON POPS,119
120,BOWIE D,120
121,BOWIE DAVID,121
122,BOYD L,122
123,BOYS CHOIR OF HARLEM,123
124,BRAUN R,124
125,BRINGLE C,125
126,BROTHERS 4,126
127,BURELL K,127
128,BURRELL K,128
129,CAMPBELL G,129
130,CANADIAN BRASS,130
131,CARNIE AND WENDY WILSON,131
132,CASH J,132
133,CASH R,133
134,CHARLES R,134
135,CHARLES V,135
136,CHARLEY PRIDE,136
137,CHICAGO,137
138,CLAYDERMAN R,138
139,CLOONEY R,139
140,COLLIN RAYE,140
141,COMO P,141
142,CONJUNTO CORAL ARS NOVA,142
143,CONNICK HARRY JR,143
144,CONNIFF R,144
145,COULTER P,145
146,CRAMER F,146
147,CROFT M/BLANCHARD T,147
148,CROSBY B,148
149,DANDY WARHOLS,149
150,DARRYL STUERMER,150
151,DARWIN HOBBS,151
152,DAVID BOWIE,152
153,DAVID BOWIE/BING CROSBY,153
154,DAVID MONTES,154
155,DAVIS C,155
156,DAVIS CHIP,156
157,DAVIS MONTES Y TROPICO ELECTRICO,157
158,DENVER J,158
159,DESOL,159
160,DIAMOND N,160
161,DIANA REYES,161
162,DIETRICH M,162
