g_song_id,g_artist_id,g_artist_name,g_full_song_title,g_song_title
1,1,Cam’ron,Killa Cam by Cam’ron (Ft. Opera Steve),Killa Cam
3,2,JAY-Z,Can I Live by JAY-Z,Can I Live
4,3,Fabolous,Forgive Me Father by Fabolous,Forgive Me Father
5,1,Cam’ron,Down and Out by Cam’ron (Ft. Kanye West & Syleena Johnson),Down and Out
6,4,Lil Wayne,Fly In by Lil Wayne,Fly In
7,4,Lil Wayne,Lollipop (Remix) by Lil Wayne (Ft. Kanye West & Static Major),Lollipop (Remix)
8,5,Clipse,"I'm Not You by Clipse (Ft. Jadakiss, Roscoe P. Coldchain & Styles P)",I'm Not You
9,1,Cam’ron,Family Ties by Cam’ron (Ft. Nicole Wray),Family Ties
10,1,Cam’ron,Rockin' and Rollin' by Cam’ron,Rockin' and Rollin'
11,1,Cam’ron,Lord You Know by Cam’ron (Ft. Jaheim & Juelz Santana),Lord You Know
12,4,Lil Wayne,Money on My Mind by Lil Wayne,Money on My Mind
13,3,Fabolous,Think Ya'll Know by Fabolous,Think Ya'll Know
14,2,JAY-Z,D'Evils by JAY-Z,D'Evils
15,2,JAY-Z,December 4th by JAY-Z,December 4th
16,103,Big L,'98 Freestyle by Big L,'98 Freestyle
17,86,Birdman,What Happened to That Boy? by Birdman (Ft. Clipse),What Happened to That Boy?
18,2,JAY-Z,It's Hot (Some Like It Hot) by JAY-Z,It's Hot (Some Like It Hot)
19,1,Cam’ron,"Losing Weight, Pt. 2 by Cam’ron (Ft. Juelz Santana)","Losing Weight, Pt. 2"
21,13,Gucci Mane,Colors by Gucci Mane,Colors
22,18,Big Tymers,Broads by Big Tymers,Broads
23,4,Lil Wayne,Fly Out by Lil Wayne,Fly Out
25,4,Lil Wayne,I'm Blooded by Lil Wayne,I'm Blooded
26,3,Fabolous,A Milli by Fabolous,A Milli
27,20,Ghostface Killah,Big Girl by Ghostface Killah,Big Girl
28,21,Wu-Tang Clan,C.R.E.A.M. by Wu-Tang Clan,C.R.E.A.M.
29,22,The Notorious B.I.G.,Warning by The Notorious B.I.G.,Warning
31,4,Lil Wayne,We Be Steady Mobbin' by Lil Wayne (Ft. Gucci Mane),We Be Steady Mobbin'
32,411,Lil' Kim,Suck My Dick by Lil' Kim,Suck My Dick
34,5,Clipse,Comedy Central by Clipse (Ft. Fabolous),Comedy Central
35,4612,Re-Up Gang,I'm a Hustla by Re-Up Gang,I'm a Hustla
36,4,Lil Wayne,Carter II by Lil Wayne,Carter II
37,4,Lil Wayne,Ride for My Niggas by Lil Wayne,Ride for My Niggas
38,72,Kanye West,Barry Bonds by Kanye West (Ft. Lil Wayne),Barry Bonds
39,4,Lil Wayne,Fireman by Lil Wayne,Fireman
40,4,Lil Wayne,On My Own by Lil Wayne (Ft. Reel),On My Own
41,3,Fabolous,Whatever I Wan' Do by Fabolous,Whatever I Wan' Do
42,2,JAY-Z,Brooklyn (Go Hard) by JAY-Z (Ft. Santigold),Brooklyn (Go Hard)
43,22,The Notorious B.I.G.,Juicy by The Notorious B.I.G.,Juicy
44,2,JAY-Z,D.O.A. (Death of Auto-Tune) by JAY-Z,D.O.A. (Death of Auto-Tune)
45,22,The Notorious B.I.G.,You're Nobody (Til Somebody Kills You) by The Notorious B.I.G.,You're Nobody (Til Somebody Kills You)
46,22,The Notorious B.I.G.,Me & My Bitch by The Notorious B.I.G. (Ft. Puff Daddy),Me & My Bitch
47,32,Ol' Dirty Bastard,Brooklyn Zoo by Ol' Dirty Bastard,Brooklyn Zoo
48,22,The Notorious B.I.G.,The What by The Notorious B.I.G. (Ft. Method Man),The What
49,3,Fabolous,I'm Gettin' Money by Fabolous (Ft. Freck Billionaire),I'm Gettin' Money
50,3,Fabolous,Not Give a Fuck by Fabolous,Not Give a Fuck
51,22,The Notorious B.I.G.,Ten Crack Commandments by The Notorious B.I.G.,Ten Crack Commandments
52,3,Fabolous,Niggaz by Fabolous (Ft. Joe Budden & Paul Cain),Niggaz
53,34,Jadakiss,Knock Yourself Out by Jadakiss,Knock Yourself Out
54,2,JAY-Z,Hate by JAY-Z (Ft. Kanye West),Hate
