,g_song_id,writer_id,writer_name
0,1,27663,The Heatmakerz
1,1,1,Cam’ron
2,3,9768,Irv Gotti
3,3,644832,H. Davis
4,3,214470,B. Bacharach
5,3,2,JAY-Z
6,5,1,Cam’ron
7,5,1014416,"Brian ""All Day"" Miller"
8,5,72,Kanye West
9,5,1063871,Fred Briggs
10,6,1896,Marques Houston
11,6,9333,T-Mix
12,6,4,Lil Wayne
13,7,7561,Static Major
14,7,4,Lil Wayne
15,7,72,Kanye West
16,8,643,Pusha-T
17,8,20314,No Malice
18,8,34,Jadakiss
19,8,75,Styles P
20,8,4613,Roscoe P. Coldchain
21,8,110,Pharrell Williams
22,8,26832,Chad Hugo
23,9,4306,Skitzo
24,9,315,Nicole Wray
25,9,1,Cam’ron
26,10,1,Cam’ron
27,10,1216376,W. DeVaughn
28,10,3264,Jermaine Dupri
29,12,27589,The Runners
30,12,4,Lil Wayne
31,14,2260,DJ Premier
32,14,2,JAY-Z
33,15,1190843,Elijah Powell
34,15,1190842,Walter Boyd
35,15,1954,Just Blaze
36,15,2,JAY-Z
37,16,103,Big L
38,17,20314,No Malice
39,17,26832,Chad Hugo
40,17,110,Pharrell Williams
41,17,643,Pusha-T
42,17,86,Birdman
43,18,112,Timbaland
44,18,2,JAY-Z
45,19,1954,Just Blaze
46,19,78,Juelz Santana
47,19,1,Cam’ron
48,21,13,Gucci Mane
49,22,86,Birdman
50,22,4,Lil Wayne
51,22,146,Mannie Fresh
52,23,4,Lil Wayne
53,27,20,Ghostface Killah
54,28,228,Method Man
55,28,508,Inspectah Deck
56,28,76,Raekwon
57,29,5839,Easy Mo Bee
58,29,22,The Notorious B.I.G.
59,31,13,Gucci Mane
60,31,4,Lil Wayne
61,32,82,Puff Daddy
62,32,22,The Notorious B.I.G.
63,32,473451,Larry Troutman
64,32,5347,Roger Troutman
65,32,980748,Carl Thompson
66,32,18413,Shirley Murdock
67,32,663523,Joan Morgan
68,32,713738,Norman Glover
69,32,23575,Andru Donalds
70,32,411,Lil' Kim
71,34,643,Pusha-T
72,34,20314,No Malice
73,34,3,Fabolous
74,34,110,Pharrell Williams
75,34,26832,Chad Hugo
76,35,1339,Ab-Liva
77,35,96,Sandman
78,35,8427,Malice
79,35,643,Pusha-T
80,36,4,Lil Wayne
81,37,4,Lil Wayne
82,38,16678,Nottz
83,38,644671,John Ventura
84,38,47777,Mountain
85,38,4,Lil Wayne
86,38,72,Kanye West
87,39,27661,Filthy
88,39,43274,DVLP
