,g_song_id,writer_id,writer_name
0,436873,660,Prince
1,436877,660,Prince
2,436879,660,Prince
3,436882,660,Prince
4,436888,660,Prince
5,436889,52212,Keith Richards
6,436889,44144,Mick Jagger
7,436891,660,Prince
8,436894,354773,Hoagy Carmichael
9,436894,354113,Johnny Mercer
10,436905,660,Prince
11,436906,337614,Clarence Paul
12,436906,451799,Morris Broadnax
13,436906,1602,Stevie Wonder
14,436907,179,Joe Budden
15,436911,660,Prince
16,436917,32540,Thom Bell
17,436917,41328,William Hart
18,436923,660,Prince
19,436925,660,Prince
20,436929,650042,Scrap D.
21,436929,660,Prince
22,436930,660,Prince
23,436934,186599,Eric Bazilian
24,436935,660,Prince
25,436936,660,Prince
26,436940,6190,Brian Jackson
27,436940,953,Gil Scott-Heron
28,436941,632271,Sam Dees
29,436954,369,Isaac Hayes
30,436954,59308,David Porter
31,436956,418491,Rod Temperton
32,436957,384306,David Lasley
33,436957,1134786,Don Yowell
34,436957,423108,Allee Willis
35,436960,370780,Carol Bayer Sager
36,436960,46739,Michael Masser
37,436964,370780,Carol Bayer Sager
38,436964,352355,Peter Allen
39,436964,73335,Burt Bacharach
40,436967,7031,Luther Vandross
41,436967,358281,Marcus Miller
42,436970,7031,Luther Vandross
43,436984,263426,Crooked I
44,436984,183654,Nino Graye
45,436984,183655,Flawless the MC
46,436984,209,Canibus
47,437001,356497,Don Covay
48,437005,1056,Large Professor
49,437005,76,Raekwon
50,437005,58,Cormega
51,437014,557321,Eddie Brigati
52,437014,375477,Felix Cavaliere
53,437015,1005223,Carolyn Franklin
54,437062,2041,Emilio Rojas
55,437062,179,Joe Budden
56,437087,35651,Narada Michael Walden
57,437087,411952,Jeffrey Cohen
58,437097,409603,Roy Freeland
59,437097,1085939,Beppe Cantarelli
60,437099,1042482,Anukampa Walden
61,437099,460731,Preston Glass
62,437099,411952,Jeffrey Cohen
63,437099,35651,Narada Michael Walden
64,437103,12418,Ed Sheeran
65,437103,397914,Amy Wadge
66,437106,411952,Jeffrey Cohen
67,437106,460731,Preston Glass
68,437106,51771,Walter Afanasieff
69,437108,52212,Keith Richards
70,437108,44144,Mick Jagger
71,437112,72,Kanye West
72,437113,460731,Preston Glass
73,437113,118460,Joe Johnson
74,437113,35651,Narada Michael Walden
75,437116,994986,Alan Glass
76,437116,460731,Preston Glass
77,437116,35651,Narada Michael Walden
78,437117,557291,E.Y. Harburg
79,437117,580192,Burton Lane
80,437127,743,​deadmau5
81,437127,183700,Colleen D'Agostino
82,437150,1225189,Willard Eugene Price
83,437152,10181,Sly Stone
84,437155,291619,Carole Bayer Sager
85,437155,378090,Bill Conti
86,437155,73335,Burt Bacharach
87,437156,634573,David Conley
88,437156,422437,Joshua Thompson
89,437156,1123897,Gene Lennon
90,437156,634571,Derrick Culler
91,437157,82,Puff Daddy
92,437157,4304,Kelly Price
93,437157,35895,Cory Rooney
94,437160,1555682,Bill Dickens
95,437160,1266690,Tim Gant
96,437160,133458,Michael Gray
97,437163,3264,Jermaine Dupri
98,437163,4962,Trey Lorenz
99,437163,368814,Trina Broussard
100,437163,1024265,Wayne Garfield
101,437163,999967,Mauro Malavasi
102,437163,1024239,Davide Romani
103,437164,1123902,Jean Claude Lucchetti
104,437164,33633,Herbert Kretzmer
105,437164,33630,Claude-Michel Schönberg
106,437164,33631,Alain Boublil
107,437169,88892,Daryl Simmons
108,437170,39842,Dallas Austin
109,437172,291619,Carole Bayer Sager
110,437172,73335,Burt Bacharach
111,437172,451282,Bruce Roberts
112,437174,7031,Luther Vandross
113,437174,713055,Hubert Eaves III
114,437177,58311,David Foster
115,437177,1247240,Gregory Charley
116,437177,1033230,John Winston
117,437178,31928,Troy Taylor
118,437178,370909,Gordon Chambers
119,437178,1147566,Myia Davis
120,437178,904759,RIck Williams
121,437180,59199,Santa's Brother
122,437180,44083,Pink Guy
123,437181,1109594,Norman West
124,437183,28305,"Ron ""Amen-Ra"" Lawrence"
125,437183,1201634,Philip White
126,437183,713401,Aleese Simmons
127,437183,499853,Katrina Willis
128,437184,14724,Niro
129,437186,31928,Troy Taylor
130,437186,358,Mary J. Blige
131,437186,992407,Bruce Miller
132,437186,378469,Earl Klugh
133,437189,44083,Pink Guy
134,437190,260,OJ da Juiceman
135,437190,13,Gucci Mane
136,437192,31928,Troy Taylor
137,437192,358,Mary J. Blige
138,437192,992407,Bruce Miller
