,genre
0,a cappella
1,acid house
2,acid jazz
3,acoustic blues
4,acoustic pop
5,acoustic punk
6,adult standards
7,african rock
8,album rock
9,albuquerque indie
10,alternative country
11,alternative dance
12,alternative hip hop
13,alternative metal
14,alternative pop
15,alternative rock
16,american choir
17,american modern classical
18,anarcho-punk
19,anthem worship
20,anti-folk
21,antiviral pop
22,art pop
23,art rock
24,aussietronica
25,australian alternative rock
26,australian country
27,australian dance
28,australian pop
29,australian rock
30,ballroom
31,banda
32,bassline
33,bebop
34,big band
35,big beat
36,big room
37,bluegrass
38,blues
39,blues-rock
40,bolero
41,bossa nova
42,boston rock
43,bounce
44,bow pop
45,boy band
46,brass band
47,brass ensemble
48,brazilian metal
49,breakbeat
50,brill building pop
51,brit funk
52,british blues
53,british contemporary classical
54,british folk
55,british invasion
56,british soundtrack
57,britpop
58,broadway
59,brooklyn indie
60,brostep
61,bubblegum dance
62,bubblegum pop
63,bulgarian hip hop
64,cabaret
65,calypso
66,canadian blues
67,canadian ccm
68,canadian celtic
69,canadian country
70,canadian folk
71,canadian hip hop
72,canadian indie
73,canadian metal
74,canadian pop
75,canadian punk
76,canadian rock
77,candy pop
78,canterbury scene
79,canzone napoletana
80,ccm
81,celtic
82,celtic punk
83,celtic rock
84,chamber pop
85,chicago blues
86,chicago indie
87,chicago soul
88,chicano rap
89,childrens music
90,christelijk
91,christian alternative rock
92,christian hip hop
93,christian metal
94,christian music
95,christian punk
96,christian relaxative
97,christian rock
98,christmas
99,christmas product
100,classic canadian rock
101,classic garage rock
102,classic girl group
103,classic rock
104,classic russian rock
105,classic schlager
106,classic soul
107,classic soundtrack
108,classical
109,classical cello
110,classical performance
111,classical piano
112,classical tenor
113,classical trumpet
114,classify
115,colombian pop
116,comedy
117,comedy rock
118,comic
119,complextro
120,compositional ambient
121,conscious hip hop
122,contemporary country
123,contemporary post-bop
124,cool jazz
125,country
126,country blues
127,country dawn
128,country gospel
129,country road
130,country rock
131,cowboy western
132,cowpunk
133,crossover thrash
134,crunk
135,cuban rumba
136,cumbia
137,cumbia sonidera
138,cyberpunk
139,dance pop
140,dance rock
141,dance-punk
142,dancehall
143,danish metal
144,danish pop
145,dark jazz
146,death metal
147,deep adult standards
148,deep australian indie
149,deep christian rock
150,deep contemporary country
151,deep cumbia sonidera
152,deep funk
153,deep groove house
154,deep pop r&b
155,deep regional mexican
156,deep southern trap
157,deep trap
158,delta blues
159,detroit hip hop
160,dirty south rap
161,disco
162,disco house
163,disney
164,diva house
165,dixieland
166,doo-wop
167,downtempo
168,dream pop
169,drill
170,drum and bass
171,dub
172,dubstep
173,duranguense
174,dutch house
175,dutch pop
176,dutch rock
177,east coast hip hop
178,easy listening
179,easycore
180,ectofolk
181,edm
182,electric blues
183,electro
184,electro house
185,electro latino
186,electro swing
187,electronic
188,electronic trap
189,electropop
190,electropowerpop
191,emo
192,emo rap
193,escape room
194,etherpop
195,eurodance
196,europop
197,exotica
198,experimental
199,experimental pop
200,experimental rock
201,filter house
202,flamenco
203,folk
204,folk punk
205,folk rock
206,folk-pop
207,freak folk
208,freakbeat
209,free jazz
210,freestyle
211,french soundtrack
212,funk
213,funk metal
214,funk rock
215,g funk
216,gangster rap
217,garage psych
218,garage rock
