,s_song_id,album_release_date,artist_id,artist_name,duration_ms,explicit,linked_album,song_title
163,2xfcxlx0QRbqUhpVidqmOU,2013-05-28,1xlkcCr7PNHw2dRG1Gm6YF,Ron White,322322.0,True,A Little Unprofessional,L.A. Beautiful/You're Beautiful/The Yellow Blur
708,5LMcncchvV1jYHMG4hviSN,1998-04-04,0NnoRcD3WkqC9aouHyE8YY,Trey Parker,153026.0,False,Cannibal! The Musical (Original Motion Picture Soundtrack),Overture
760,1LhC7Qvwpv5ze4YYsCAOjP,2017-09-22,1Bd4UVlqlaKEXYRG3wgrCK,Steve Martin,224253.0,False,“The Long-Awaited Album”,All Night Long
844,7G6u98RMlPhg5zH7j2XuNI,1989-01-01,1KrDd8tfcITeBIHGXXIx4s,Andrew Dice Clay,207093.0,False,Dice,Mother Goose
867,2zUGFRIfBfmbDSHuM23kE4,2013-05-28,1xlkcCr7PNHw2dRG1Gm6YF,Ron White,271438.0,True,A Little Unprofessional,Roller Coaster/Ok to Be Gay/Pornucopia/Gay Exec
894,1uOocLM5g6NQNcVdXmP5Tl,2000-08-29,2v7Q2VJ6Xo1rwwhfJ6piQw,Bob Rivers,199333.0,False,Chipmunks Roasting On An Open Fire,Chipmunks Roasting On An Open Fire
932,5BqLHo7edsSPdPCkt9shOk,2006-04-01,5alRKXufstWwyHsyQbpi9n,George Carlin,426080.0,True,Life Is Worth Losing,The Suicide Guy
1465,2pFgpKkRGImFcwgLf87hg5,2010-03-26,4OrieSJUghNfNx5UuPCgxF,Robin Williams,646280.0,True,Weapons Of Self Destruction,"Drugs, Alcoholism, And More Drugs - Explicit Audio"
1730,3LRGJ97WvYoD99lDgtcIFJ,1959-01-01,5iNvbRVX9W8t1RpD2SHpAO,Tom Lehrer,86453.0,False,More Of Tom Lehrer,The Elements (Music By Sir Arthur Sullivan)
1744,2WpkiqZYX7yN93WDgog6hj,2016-01-04,1enLi8njBlk1YlDg44MtJm,Allan Sherman,157996.0,False,Allan Sherman Nutty but Nice,Downtown
1793,3rK8rvri4R1VSslIwbdDWc,2009-05-19,6RAiPa076RxBeTBxWO8Xfh,Dane Cook,112426.0,True,ISolated INcident,Self Assassination
1842,3GLEUHBEEWQIOsbUx9Idhy,2011-01-01,5ugjlc51azqrMoBLLbOnIg,The Smothers Brothers,270893.0,False,"Golden Hits Of The Smothers Brothers, Vol. 2",My Old Man
1883,5YDTmH5RnJURKI4giPqmql,1997-01-01,1dHjpeh9OKBf1Jfg8dmO1T,Denis Leary,103133.0,True,Lock 'N Load,Life's Gonna Suck
1912,793L0u7mV5wcBCdOSpNKMU,2011-01-01,5ugjlc51azqrMoBLLbOnIg,The Smothers Brothers,285000.0,False,Mom Always Liked You Best!,Mom Always Liked You Best
2038,24EslHtGXHUK67OHNuEvs0,2009-10-02,1sCa5KANHoHo4NuGextoI9,Bill Engvall,277440.0,False,Aged And Confused (Standard),Zip Line
2329,6TrwtGYiYKWE6ll7p03jbx,2009-05-19,6RAiPa076RxBeTBxWO8Xfh,Dane Cook,225226.0,True,ISolated INcident,Obama
2347,1tLgd1QR73oH66JLdS9fWc,2010-11-15,2iVKGetYUZQElKZKWECyF4,Larry The Cable Guy,803026.0,False,The Best Of Larry The Cable Guy,Intro / My Family Is Weird / My Sister Is Covered With Moles
2410,0ccllnXp7eTzhgPwotvDla,2013-01-01,1Bd4UVlqlaKEXYRG3wgrCK,Steve Martin,195106.0,False,Love Has Come For You,When You Get To Asheville
2439,0yE1hIgt4v8Gs4t9YmD55d,1990-01-01,7r0Otd9dEStSVIxJ02ml5a,The Simpsons,266866.0,False,The Simpsons Sing The Blues,"Deep, Deep Trouble"
2508,5Vtbm6lMpjXDlwNU8stWQm,1978,0TorzrcTerTn7l5q9LVjmt,Cheech & Chong,185200.0,False,Up In Smoke (Motion Picture Soundtrack) [40th Anniversary Edition],Rock Fight
2863,3f8c5jKjauG0MXTVYNuSjl,2010-03-26,4OrieSJUghNfNx5UuPCgxF,Robin Williams,405613.0,True,Weapons Of Self Destruction,The Summer Olympics And Athletics - Explicit Audio
2940,4BZo9zSqVl55H3zEuQKbkc,2005-02-08,1enLi8njBlk1YlDg44MtJm,Allan Sherman,161933.0,False,My Name Is Allan,The Drinking Man's Diet
3014,7A66aCj8x4qcrQsL0tvsxr,1993-01-01,1dHjpeh9OKBf1Jfg8dmO1T,Denis Leary,243106.0,False,No Cure For Cancer,Rehab
3078,4Fqy9flQArJZ0vzbXMNgcG,2011-01-01,5ugjlc51azqrMoBLLbOnIg,The Smothers Brothers,623746.0,False,"Golden Hits Of The Smothers Brothers, Vol. 2",Cabbage
3225,21XWADAwjB3mHHcWYi8qtD,2008-04-20,4eQeZFlDU3froIAkzS6vnC,Jerry Seinfeld,203026.0,False,Jerry Seinfeld on Comedy,Observations
3298,0RrgtqON7tAfx9RDiiVDrs,2013-05-28,1xlkcCr7PNHw2dRG1Gm6YF,Ron White,279779.0,True,A Little Unprofessional,Get in Shape/All Dogs Go to Heaven/Bin Laden/Pearl
3405,62aZkYAxylijBJXs0rq1lM,1994,2v7Q2VJ6Xo1rwwhfJ6piQw,Bob Rivers,115933.0,False,Bob Rivers & Twisted Radio - Twisted Christmas Boxed Set,Walkin' 'Round in Women's Underwear
3655,6RHrQuUrdu0qGym6dzG0Q2,2000-01-01,1KrDd8tfcITeBIHGXXIx4s,Andrew Dice Clay,44533.0,True,Face Down Ass Up,"Home Or Office, You Decide"
3915,2ILOKStuQTILjVsb1icklE,2010-01-01,5iNvbRVX9W8t1RpD2SHpAO,Tom Lehrer,160760.0,False,The Rest Of Tom Lehrer,We Will All Go Together When We Go
3987,1z5pB3mPwfn3lEqB4O9loE,1994,2v7Q2VJ6Xo1rwwhfJ6piQw,Bob Rivers,221640.0,False,Bob Rivers & Twisted Radio - Twisted Christmas Boxed Set,The Twelve Pains Of Christmas
4042,7byBS1WpvQgfU6CekQgFnA,2009-10-02,1sCa5KANHoHo4NuGextoI9,Bill Engvall,170533.0,False,Aged And Confused (Standard),Game Night
4274,4ZACbQfI7CkaVVRHDkfR3K,2017-09-22,1Bd4UVlqlaKEXYRG3wgrCK,Steve Martin,191813.0,False,“The Long-Awaited Album”,Santa Fe
4381,6EIam6yR442jksXl8paNdP,1995-05-02,5alRKXufstWwyHsyQbpi9n,George Carlin,222200.0,False,Killer Carlin,War Pictures
4610,2c8wq63BRM6bB0zOtmmCWl,1975,0zokIKbH4c7crvZP9Xel1Y,Richard Pryor,426040.0,True,That Nigger's Crazy,Wino & Junkie - Remastered Version
4636,2QIdOxW9absLgEZ99m7gb8,2006-01-09,1Zq8pfBl4ejCMrWdeAdphc,Eddie Murphy,213600.0,False,Dreamgirls (Music from the Motion Picture),Patience
4697,2XxOwj801fKJlK5GMBJt8F,2010-03-26,4OrieSJUghNfNx5UuPCgxF,Robin Williams,517200.0,True,Weapons Of Self Destruction,"Bush, Cheney, And The Obamas - Explicit Audio"
4727,2A5iUSIrZaYx1nhvXKnZTw,2007-01-01,1Zq8pfBl4ejCMrWdeAdphc,Eddie Murphy,278986.0,False,Shrek The Third,Thank You (Falletin' Me Be Mice Elf Again)
4896,4J3jXKUqt1S01SoWAeQK8g,2017-09-29,2iVKGetYUZQElKZKWECyF4,Larry The Cable Guy,141913.0,False,We've Been Thinking,Dieting and Buffets
4930,1cG9lukF0NNXTmcYJLmTS7,2009-05-19,6RAiPa076RxBeTBxWO8Xfh,Dane Cook,109000.0,True,ISolated INcident,Pissed Off
4972,63TDxVnw6z4V6f7wCmL5ri,2001,49mU7Sl98U8MkECsd6zVq0,Bob Newhart,304733.0,False,Something Like This...The Bob Newhart Anthology,The Cruise Of The U.S.S. Codfish
5050,2XgEnELx1hvVMBL4Ny6f0B,2009-05-19,6RAiPa076RxBeTBxWO8Xfh,Dane Cook,260786.0,True,ISolated INcident,W.W.Y.D.I.??
5069,5gkxhWdMsyCrCuqmd1gkmX,1990-01-01,1KrDd8tfcITeBIHGXXIx4s,Andrew Dice Clay,185360.0,True,The Day The Laughter Died,Texas - Live At Dangerfield's/1989
5352,70ch3HjsgE5oVxaksExh6X,2010-03-26,4OrieSJUghNfNx5UuPCgxF,Robin Williams,359453.0,True,Weapons Of Self Destruction,"Arnold, The Economy, And Alternative Fuels - Explicit Audio"
5505,217utbgUfefdiUcB6ZeD4t,2008-04-01,5alRKXufstWwyHsyQbpi9n,George Carlin,64346.0,True,It's Bad For Ya,A Couple of Other Questions
5542,0E9WRXj7Po0Rh8G4QVpzO3,1998-04-04,0NnoRcD3WkqC9aouHyE8YY,Trey Parker,189226.0,False,Cannibal! The Musical (Original Motion Picture Soundtrack),Hang the Bastard
5980,4l5va4b1XZQLjWG2U4JlHY,2015-01-01,2iVKGetYUZQElKZKWECyF4,Larry The Cable Guy,92946.0,False,Walt Disney Records The Legacy Collection: Disneyland,Welcome to Radiator Springs - From Cars Land (Area Music)
6168,6NF5a7Q6VPbvPCeHl3aNOC,1982,0zokIKbH4c7crvZP9Xel1Y,Richard Pryor,382960.0,True,Live On The Sunset Strip,"Prison (Remastered) - Live at Circle Star Theatre, San Carlos, CA. 12/81"
6231,2WyWtfTKCbvRk8SxWcwoPk,1994,2v7Q2VJ6Xo1rwwhfJ6piQw,Bob Rivers,201960.0,False,Bob Rivers & Twisted Radio - Twisted Christmas Boxed Set,I Am Santa Claus
6255,7rhcSlt2YG5X8uTdN0o0lk,1959-01-01,5iNvbRVX9W8t1RpD2SHpAO,Tom Lehrer,159466.0,False,An Evening Wasted With Tom Lehrer,Poisoning Pigeons In The Park
6276,1XwcrSDpLqQjs7OAUpcBTG,1975,0zokIKbH4c7crvZP9Xel1Y,Richard Pryor,239493.0,True,...Is It Something I Said?,New Niggers - Remastered
6285,0qyhuQoLKGn8L1v8SIekMl,2011-01-01,5ugjlc51azqrMoBLLbOnIg,The Smothers Brothers,396146.0,False,"Golden Hits Of The Smothers Brothers, Vol. 2","Michael, Row The Boat Ashore"
6415,5V8GdzNrkcyyUs2NaBiWDL,1971,1enLi8njBlk1YlDg44MtJm,Allan Sherman,76928.0,False,The Cat in the Hat (Songs from the Cat in the Hat),"Sweep, Sweep Up the Memories"
6477,5iu8Q2ioUM0eq3IHXouTG9,2017-09-29,7zOcRYg1BYXpwr71XTWNr7,Jeff Foxworthy,166096.0,False,We've Been Thinking,Women Have Questions
6480,7pNSU1i0u2cSI2Eo4WKHdu,1998-04-04,0NnoRcD3WkqC9aouHyE8YY,Trey Parker,206573.0,False,Cannibal! The Musical (Original Motion Picture Soundtrack),This Side of Me
6495,4bsKq1IYsd4lt3UsegYigL,1985,0TorzrcTerTn7l5q9LVjmt,Cheech & Chong,292826.0,False,Get Out Of My Room,Born In East L.A.
6575,195feLuw6nZ1RP3OIS4nMy,2010-11-22,6RAiPa076RxBeTBxWO8Xfh,Dane Cook,202066.0,True,I Did My Best - Greatest Hits,Creepy Guy @ Work
