,g_song_id,writer_id,writer_name,for_project
31,14,2260,DJ Premier,True
32,14,2,JAY-Z,True
38,17,20314,No Malice,True
39,17,26832,Chad Hugo,True
40,17,110,Pharrell Williams,True
41,17,643,Pusha-T,True
42,17,86,Birdman,True
43,18,112,Timbaland,True
44,18,2,JAY-Z,True
45,19,1954,Just Blaze,True
46,19,78,Juelz Santana,True
47,19,1,Cam’ron,True
49,22,86,Birdman,True
50,22,4,Lil Wayne,True
51,22,146,Mannie Fresh,True
57,29,5839,Easy Mo Bee,True
58,29,22,The Notorious B.I.G.,True
59,31,13,Gucci Mane,True
60,31,4,Lil Wayne,True
61,32,82,Puff Daddy,True
62,32,22,The Notorious B.I.G.,True
63,32,473451,Larry Troutman,True
64,32,5347,Roger Troutman,True
65,32,980748,Carl Thompson,True
66,32,18413,Shirley Murdock,True
67,32,663523,Joan Morgan,True
68,32,713738,Norman Glover,True
69,32,23575,Andru Donalds,True
70,32,411,Lil' Kim,True
71,34,643,Pusha-T,True
72,34,20314,No Malice,True
73,34,3,Fabolous,True
74,34,110,Pharrell Williams,True
75,34,26832,Chad Hugo,True
76,35,1339,Ab-Liva,True
77,35,96,Sandman,True
78,35,8427,Malice,True
79,35,643,Pusha-T,True
80,36,4,Lil Wayne,True
81,37,4,Lil Wayne,True
82,38,16678,Nottz,True
83,38,644671,John Ventura,True
84,38,47777,Mountain,True
85,38,4,Lil Wayne,True
86,38,72,Kanye West,True
97,43,1436,MC Ren,True
98,43,28925,Trackmasters,True
99,43,431037,James Mtume,True
100,43,82,Puff Daddy,True
101,43,22,The Notorious B.I.G.,True
115,46,22,The Notorious B.I.G.,True
116,46,82,Puff Daddy,True
118,48,5839,Easy Mo Bee,True
119,48,228,Method Man,True
120,48,22,The Notorious B.I.G.,True
135,57,146,Mannie Fresh,True
136,57,4,Lil Wayne,True
137,57,38,Juvenile,True
147,61,644356,R. Mays,True
148,61,183,Ja Rule,True
149,61,644355,I. Lorenzo,True
150,61,2,JAY-Z,True
173,70,307,RZA,True
174,70,32,Ol' Dirty Bastard,True
175,71,2,JAY-Z,True
176,71,67,Jeezy,True
177,71,23691,DJ Don Cannon,True
183,74,27434,Jeff Bhasker,True
184,74,4709,No I.D.,True
185,74,89,Rihanna,True
186,74,72,Kanye West,True
187,74,2,JAY-Z,True
188,75,9909,Sylvia Robinson,True
189,75,412297,Bert Keyes,True
190,75,642646,J. Sewell-Ulepic,True
191,75,642645,A. Hunte,True
192,75,362,Alicia Keys,True
193,75,642644,A Shuckburgh,True
194,75,2,JAY-Z,True
258,100,4709,No I.D.,True
259,100,72,Kanye West,True
260,100,2,JAY-Z,True
261,102,1,Cam’ron,True
262,103,49857,Chris Jasper,True
263,103,49856,Rudolph Isley,True
264,103,2668,Ronald Isley,True
265,103,398699,O'Kelly Isley,True
266,103,398701,Marvin Isley,True
267,103,649699,Ernie Isley,True
268,103,2457,Wish Bone,True
269,103,2459,Layzie Bone,True
270,103,350,Krayzie Bone,True
271,103,2458,Bizzy Bone,True
274,107,1,Cam’ron,True
275,107,78,Juelz Santana,True
276,107,79,Jim Jones,True
277,108,352997,Gary Byrd,True
278,108,1056,Large Professor,True
279,108,56,Nas,True
280,109,100,Pete Rock,True
281,109,56,Nas,True
292,114,4,Lil Wayne,True
293,114,86,Birdman,True
294,114,403,N.O.R.E.,True
295,114,20314,No Malice,True
296,114,26832,Chad Hugo,True
297,114,110,Pharrell Williams,True
298,114,643,Pusha-T,True
299,115,4,Lil Wayne,True
300,115,993,Nikki Jean,True
306,120,14266,André 3000,True
307,120,318,Big Boi,True
308,121,135,Lil Scrappy,True
309,121,134,Trillville,True
310,121,107,Lil Jon,True
311,122,42,The Game,True
312,122,108,50 Cent,True
313,122,49606,Cool (Producer),True
314,122,523,Dre,True
315,123,1179184,Frank Friedman,True
316,123,3617,Kid Capri,True
317,123,2,JAY-Z,True
318,124,78,Juelz Santana,True
319,124,1,Cam’ron,True
325,128,669425,Bernard Miller,True
326,128,36895,Ann Peebles,True
327,128,669424,Don Bryant,True
328,128,1529,Missy Elliott,True
329,128,112,Timbaland,True
333,131,11845,Dot Da Genius,True
334,131,68,Kid Cudi,True
358,139,37136,Colin Wolfe,True
359,139,123,Dr. Dre,True
360,139,46,Snoop Dogg,True
361,139,3431,Daz Dillinger,True
362,139,170,Kurupt,True
363,139,1129,​The D.O.C.,True
365,142,2,JAY-Z,True
366,144,123,Dr. Dre,True
367,144,10233,Scott Storch,True
368,144,1339,Ab-Liva,True
369,144,126,Rakim,True
370,144,2,JAY-Z,True
371,145,6226,Roy Ayers,True
372,145,993922,James Bedford,True
373,145,334158,Sylvia Striplin,True
374,145,34274,EZ Elpee,True
375,145,411,Lil' Kim,True
376,145,22,The Notorious B.I.G.,True
381,147,662,Boi-1da,True
382,147,4,Lil Wayne,True
383,147,45,Eminem,True
384,147,72,Kanye West,True
385,147,130,Drake,True
386,148,27519,LRoc,True
387,148,111,Ludacris,True
388,148,107,Lil Jon,True
389,148,398457,James Phillips,True
390,148,65025,LaMarquis Jefferson,True
391,148,2147,Sean Garrett,True
392,148,58280,Robert McDowell,True
393,149,1274,Nickelus F,True
394,149,130,Drake,True
395,149,67,Jeezy,True
396,149,4,Lil Wayne,True
404,153,127,Scarface,True
428,164,146,Mannie Fresh,True
429,164,4,Lil Wayne,True
457,174,27438,Bink!,True
458,174,977932,Phil Hurtt,True
459,174,119098,Bunny Sigler,True
460,174,2,JAY-Z,True
461,175,5839,Easy Mo Bee,True
462,175,22,The Notorious B.I.G.,True
463,177,156,Yasiin Bey,True
464,177,176,Black Thought,True
465,177,45,Eminem,True
466,178,4,Lil Wayne,True
477,180,46,Snoop Dogg,True
478,180,123,Dr. Dre,True
479,180,2,JAY-Z,True
480,181,375904,Charles Strouse,True
481,181,631712,Martin Charnin,True
482,181,49837,James H. Billington,True
483,181,2,JAY-Z,True
484,182,85,T.I.,True
485,182,72,Kanye West,True
486,182,2,JAY-Z,True
487,182,4,Lil Wayne,True
488,182,1042,M.I.A.,True
489,182,669410,Topper Headon,True
490,182,35064,Mick Jones,True
491,182,86678,Joe Strummer,True
492,182,12908,Diplo,True
493,182,152816,Paul Simonon,True
501,184,4,Lil Wayne,True
576,209,643,Pusha-T,True
577,209,20314,No Malice,True
578,209,110,Pharrell Williams,True
579,209,1,Cam’ron,True
597,215,4,Lil Wayne,True
598,216,1,Cam’ron,True
599,217,149,Nate Dogg,True
600,217,46,Snoop Dogg,True
601,218,10889,Shanell,True
602,218,4,Lil Wayne,True
603,219,1420914,Pop & Versatile,True
604,219,1012445,Richard Williams,True
605,219,1,Cam’ron,True
606,221,82,Puff Daddy,True
607,221,8597,Stevie J,True
608,221,2459,Layzie Bone,True
609,221,350,Krayzie Bone,True
610,221,2458,Bizzy Bone,True
611,221,22,The Notorious B.I.G.,True
612,223,2672,Hussein Fatal,True
613,223,34356,Hurt-M-Badd,True
614,223,3436,Prince Ital Joe,True
615,223,59,2Pac,True
616,223,2650,Kastro,True
617,223,1158,Yaki Kadafi,True
618,223,2257,Young Noble,True
659,239,186,Ice Cube,True
660,239,644783,David Spradley,True
661,239,21594,Garry Shider,True
662,239,29736,Eric Sadler,True
663,239,675881,Roger Parker,True
664,239,1019218,Buddy Hankerson,True
665,239,672283,Charles Carter,True
666,239,351,George Clinton,True
667,239,179651,Steve Arrington,True
670,241,663442,Cheryl Cook,True
671,241,663443,Gwendolyn Chisholm,True
672,241,404406,J-Flexx,True
673,241,9909,Sylvia Robinson,True
674,241,66037,Sam Anderson,True
675,241,123,Dr. Dre,True
676,241,3444,Angie Stone,True
691,245,86,Birdman,True
692,245,4,Lil Wayne,True
693,245,130,Drake,True
699,247,190,Mystikal,True
700,247,110,Pharrell Williams,True
701,247,26832,Chad Hugo,True
702,248,411,Lil' Kim,True
703,248,3264,Jermaine Dupri,True
704,249,72,Kanye West,True
705,250,4,Lil Wayne,True
706,250,146,Mannie Fresh,True
714,253,33782,Luis Resto,True
715,253,558736,Steve King,True
716,253,45,Eminem,True
717,253,2,JAY-Z,True
718,254,6708,"Deric ""D-Dot"" Angelettie",True
719,254,82,Puff Daddy,True
720,254,22,The Notorious B.I.G.,True
721,256,32,Ol' Dirty Bastard,True
722,257,108,50 Cent,True
723,257,6708,"Deric ""D-Dot"" Angelettie",True
724,258,111,Ludacris,True
725,258,26832,Chad Hugo,True
726,258,110,Pharrell Williams,True
727,259,78,Juelz Santana,True
728,260,112,Timbaland,True
729,260,901,Amil,True
730,260,195,Memphis Bleek,True
731,260,2,JAY-Z,True
744,265,642139,D. Richards,True
745,265,642138,F. Perren,True
746,265,642137,A. Mizell,True
747,265,642136,B. Gordy,True
748,265,72,Kanye West,True
749,265,2,JAY-Z,True
759,267,27459,Sean C,True
760,267,56750,Dahoud Darien,True
761,267,358,Mary J. Blige,True
762,267,5886,Pain In Da Ass,True
763,267,27507,Knobody,True
764,267,358281,Marcus Miller,True
765,267,2,JAY-Z,True
766,268,12991,Ski Beatz,True
767,268,644821,C. Biggs,True
768,268,12326,D.Willz,True
769,268,2,JAY-Z,True
772,272,644834,Tyrone Thomas,True
773,272,644833,August Moon,True
774,272,105666,Potter,True
775,272,52117,Dennis Lambert,True
776,272,644801,J. Burks,True
777,272,204,Foxy Brown,True
778,272,2,JAY-Z,True
781,274,431037,James Mtume,True
782,274,27594,Clark Kent,True
783,274,2,JAY-Z,True
784,275,27594,Clark Kent,True
785,275,582409,"Melvin ""Wah Wah"" Watson",True
786,275,1132367,Leroy Emmanuel,True
787,275,382313,Hamilton Bohannon,True
788,275,2,JAY-Z,True
789,276,25560,Jaz-O,True
790,276,201,Sauce Money,True
791,276,2260,DJ Premier,True
792,276,2,JAY-Z,True
804,282,91562,Bass Brothers,True
805,282,45,Eminem,True
806,283,72,Kanye West,True
807,283,127,Scarface,True
808,283,119,Beanie Sigel,True
809,283,2,JAY-Z,True
810,284,20,Ghostface Killah,True
819,290,22,The Notorious B.I.G.,True
820,290,2,JAY-Z,True
821,290,208,Angela Winbush,True
822,290,5839,Easy Mo Bee,True
823,290,452033,René Moore,True
828,293,1057244,Howard Kaylan,True
829,293,1057243,Mark Volman,True
830,293,13,Gucci Mane,True
831,293,27665,Bangladesh,True
832,294,655941,Krazy Drayz,True
833,294,7857,Skoob,True
834,295,3,Fabolous,True
835,295,2,JAY-Z,True
836,295,211,Red Cafe,True
837,296,8597,Stevie J,True
838,296,29881,Nashiem Myrick,True
839,296,82,Puff Daddy,True
840,296,22,The Notorious B.I.G.,True
841,297,186,Ice Cube,True
846,299,92,Nicki Minaj,True
888,320,8976,Johnny J,True
889,320,1158,Yaki Kadafi,True
890,320,2256,E.D.I. Mean,True
891,320,2672,Hussein Fatal,True
892,320,59,2Pac,True
898,324,123,Dr. Dre,True
899,324,1456,Knoc-turn'al,True
900,324,45,Eminem,True
901,324,2470,Mel-Man,True
902,324,291,Xzibit,True
903,325,634556,Belinda Lipscomb,True
904,325,2524,Hi-Tek,True
905,325,388,Talib Kweli,True
906,326,464,Tha Dogg Pound,True
907,326,242,The Dramatics,True
908,326,46,Snoop Dogg,True
909,326,123,Dr. Dre,True
910,329,176,Black Thought,True
911,329,30569,Questlove,True
912,329,65357,Kamal Gray,True
913,329,5088,Tahir,True
914,329,316,Dice Raw,True
915,329,1082477,Andrew Noland,True
916,329,1014759,Claydes Smith,True
917,329,1041193,"Dennis ""D.T."" Thomas",True
918,329,1154724,Don Boyce,True
919,329,966967,"George ""Funky"" Brown",True
920,329,1042780,Gregory Webster,True
921,329,632258,Junie Morrison,True
922,329,574309,"Leroy ""Sugarfoot"" Bonner",True
923,329,574310,"Marshall ""Rock"" Jones",True
924,329,644802,"Marvin ""Merv"" Pierce",True
925,329,1042781,Norman Napier,True
926,329,574311,"Ralph ""Pee Wee"" Middlebrooks",True
927,329,1041197,Ricky West,True
928,329,1041196,"Robert ""Kool"" Bell",True
929,329,684252,Robert Spike Mickens,True
930,329,966968,Robert Bell,True
931,330,8976,Johnny J,True
932,330,59,2Pac,True
933,331,191,Too $hort,True
934,331,28316,Shorty B,True
941,333,644202,Mike Strange,True
942,333,21188,Hit-Boy,True
943,333,19829,Chase N. Cashe,True
944,333,45,Eminem,True
945,333,4,Lil Wayne,True
946,334,85,T.I.,True
947,335,34793,Mike Elizondo,True
948,335,33782,Luis Resto,True
949,335,45,Eminem,True
950,335,108,50 Cent,True
951,336,7226,DJ Polo,True
952,336,847,Kool G Rap,True
953,338,2260,DJ Premier,True
954,338,2,JAY-Z,True
961,340,30963,Rick Rock,True
962,340,149,Nate Dogg,True
963,340,3,Fabolous,True
987,351,2,JAY-Z,True
988,351,236,Dead Prez,True
989,352,166703,Black Jonas Point,True
990,352,107,Lil Jon,True
991,352,16275,Sensato,True
992,352,350649,El Cata,True
993,352,628,Pitbull,True
996,355,78,Juelz Santana,True
997,355,3,Fabolous,True
998,355,255,Lloyd Banks,True
999,356,13,Gucci Mane,True
1000,356,257,Waka Flocka Flame,True
1001,356,1194,Soulja Boy,True
1002,356,10233,Scott Storch,True
1003,357,13,Gucci Mane,True
1004,357,23132,J.U.S.T.I.C.E. League,True
1026,367,33782,Luis Resto,True
1027,367,45,Eminem,True
1028,367,5839,Easy Mo Bee,True
1029,367,30304,Edgar Winter,True
1030,367,59,2Pac,True
1031,367,22,The Notorious B.I.G.,True
1051,375,34356,Hurt-M-Badd,True
1052,375,71207,Ricky Rouse,True
1053,375,71200,Big D The Impossible,True
1054,375,59,2Pac,True
1055,376,1129,​The D.O.C.,True
1056,377,46,Snoop Dogg,True
1057,377,2,JAY-Z,True
1058,377,7122,Scoop DeVille,True
1059,377,161762,Eric B. & Rakim,True
1060,379,108,50 Cent,True
1061,380,642971,"Kyambo ""Hip Hop"" Joshua",True
1062,380,2,JAY-Z,True
1063,380,149855,R. Johnson,True
1064,380,642149,D. Gibbs,True
1065,380,27605,DJ Toomp,True
1066,381,266,Everlast,True
1067,382,7226,DJ Polo,True
1068,382,847,Kool G Rap,True
1069,383,4483,Dres,True
1070,383,680449,Mista Lawnge,True
1071,383,267,Q-Tip,True
1072,384,44145,Ezra Koenig,True
1104,395,1884,Chuck D,True
1105,395,111,Ludacris,True
1106,396,92,Nicki Minaj,True
1107,396,111,Ludacris,True
1108,397,111,Ludacris,True
1109,397,4,Lil Wayne,True
1110,401,566945,Mike Stroud,True
1111,401,48766,E*Vax,True
1112,401,68,Kid Cudi,True
1154,415,1333,Proof,True
1155,415,1968,Swifty McVay,True
1156,415,1366,Kuniva,True
1157,415,509,Mr. Porter,True
1158,415,45,Eminem,True
1159,416,285817,Jacob Kasher,True
1160,416,160,Mack Maine,True
1161,416,4,Lil Wayne,True
1162,416,86,Birdman,True
1163,416,1406,Kevin Rudolf,True
1164,417,4,Lil Wayne,True
1165,417,86,Birdman,True
1166,422,45,Eminem,True
1170,424,3,Fabolous,True
1171,425,295,DJ Jazzy Jeff,True
1172,428,582910,Tim Sommers,True
1173,428,540135,"Jeremy ""Kinetics"" Dussolliet",True
1174,428,27435,DJ Frank E,True
1175,428,29473,Alex da Kid,True
1176,428,853,B.o.B,True
1177,431,143191,Michael McHenry,True
1178,431,193020,Jean Baptiste,True
1179,431,68,Kid Cudi,True
1180,432,27784,Soundtrakk,True
1181,432,175410,Prince Ben,True
1182,432,147,Lupe Fiasco,True
1183,433,14558,Jeff Bass,True
1184,433,1043,Bizarre,True
1185,433,1968,Swifty McVay,True
1186,433,1333,Proof,True
1187,433,509,Mr. Porter,True
1188,433,1366,Kuniva,True
1189,433,45,Eminem,True
1221,446,310,Wiz Khalifa,True
1228,450,318,Big Boi,True
1229,450,14266,André 3000,True
1230,450,49967,Mr. DJ,True
1245,456,13,Gucci Mane,True
1246,458,176,Black Thought,True
1247,458,30569,Questlove,True
1248,458,3495,Peedi Crakk,True
1249,458,316,Dice Raw,True
1250,458,244,The Roots,True
1251,459,318,Big Boi,True
1252,459,1542,Sleepy Brown,True
1253,459,618447,Anthony Parrino,True
1254,459,14266,André 3000,True
1255,459,69,J. Cole,True
1256,462,32937,Precision,True
1257,462,414247,Michelle Bell,True
1258,462,56,Nas,True
1277,470,85,T.I.,True
1278,470,10461,Danja,True
1294,477,255,Lloyd Banks,True
1295,477,45,Eminem,True
1296,477,149,Nate Dogg,True
1297,477,108,50 Cent,True
1298,478,555560,Trevor Lawrence Jr.,True
1299,478,27937,Mark Batson,True
1300,478,123,Dr. Dre,True
1301,478,45,Eminem,True
1302,478,4918,Dawaun Parker,True
1303,479,45,Eminem,True
1304,480,189003,"Jerome ""J-Roc"" Harmon",True
1305,480,112,Timbaland,True
1306,480,130,Drake,True
1307,480,7806,DOE,True
1308,480,10461,Danja,True
1309,481,4,Lil Wayne,True
1310,481,130,Drake,True
1311,481,86,Birdman,True
1312,482,78,Juelz Santana,True
