id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,key_changes
62bOmKYxYg7dhrC6gH9vFn,0.61,0.9259999999999999,8,-4.843,0,0.0479,0.031,0.0012,0.0821,0.861,172.638,200400,4,5
46n2EGFnPC3tzWCN1Aqe26,0.55,0.5870000000000001,2,-6.279,1,0.0329,0.354,0.0,0.128,0.466,165.975,284760,4,5
2AW37v0bDyuOzGP3XnmFuA,0.636,0.873,0,-4.672,0,0.071,0.0407,1.27e-06,0.0372,0.9079999999999999,165.071,192427,4,6
594M0rqYMOo8BhMGEdoi5C,0.6859999999999999,0.915,7,-4.447,1,0.0364,0.0028,7.16e-06,0.233,0.7959999999999999,110.054,211000,4,5
0Jc8qF1mUPo1A96HE9QxZz,0.706,0.861,11,-6.684,1,0.154,0.0341,0.0,0.127,0.9229999999999999,119.946,238427,4,4
5YTMRAT4yKgFrepF8Hi3mY,0.758,0.93,8,-3.22,0,0.0425,0.0503,0.000226,0.325,0.853,112.042,202107,4,4
72otaqywVqwyXaCjk75JKm,0.46799999999999997,0.535,10,-8.264,1,0.0436,0.44,0.0,0.10099999999999999,0.294,168.00099999999998,243493,4,5
1JbzBbwkf93dii20EC3EiZ,0.55,0.563,2,-7.019,1,0.0313,0.3,0.0,0.122,0.479,166.00400000000002,266293,4,6
6u5flhVFxKZrl9AApvf2SL,0.748,0.8109999999999999,0,-5.212999999999999,0,0.0907,0.0866,1.4499999999999998e-05,0.0282,0.862,93.963,253600,4,7
4CCUjYJPbSXLL23BFeBVbI,0.7040000000000001,0.409,11,-8.581,0,0.0597,0.43,0.0,0.109,0.495,113.863,292000,4,7
60R2v9lheAu3lwZwAFxMZK,0.7909999999999999,0.613,1,-11.628,0,0.0763,0.0986,0.0,0.0765,0.8959999999999999,143.017,170640,4,3
5r96TaQquRrlo3Ym3ZlSL2,0.728,0.44799999999999995,8,-10.54,1,0.172,0.10300000000000001,0.0,0.267,0.483,80.902,202920,4,5
1SGnWl33MUNd9QHYAoqJtW,0.565,0.976,1,-4.373,0,0.0746,0.00719,7.79e-06,0.19,0.899,167.054,134373,4,4
5eZaT21ZVGyGHJ8kcwaNxA,0.59,0.635,4,-10.261,0,0.13,0.0101,0.0,0.0808,0.5670000000000001,192.042,176800,4,4
4JqQWAr47pGEoaMArpA7Z3,0.897,0.43,7,-12.759,1,0.0551,0.0118,0.0,0.0473,0.9640000000000001,121.98700000000001,223120,4,8
1nXCcO9Fp1mE0rzw39qOPY,0.49700000000000005,0.74,7,-6.638,1,0.21,0.0861,3.45e-05,0.213,0.929,151.192,300682,4,8
74sUbOF9Zm8LdGUJjxleTl,0.48700000000000004,0.429,4,-8.716000000000001,0,0.0391,0.332,0.0,0.207,0.508,143.582,328773,4,8
0WJTdVboKc2KI1DzzAWyYM,0.813,0.32899999999999996,10,-14.814,0,0.21100000000000002,0.00875,0.0,0.24,0.441,85.71600000000001,142947,4,7
4ZJGobiy4ayWSdKfoqMRlX,0.696,0.556,10,-11.442,1,0.40399999999999997,0.276,0.0,0.23399999999999999,0.792,192.07299999999998,176307,4,5
1ZqKCseNe8FIZRDyl2E2Ac,0.7340000000000001,0.764,1,-10.757,1,0.0631,0.304,0.0,0.45399999999999996,0.977,160.005,173093,4,4
3pO37BXsjMC2wApALxGbuB,0.391,0.8009999999999999,6,-5.102,0,0.0813,0.000426,0.00020800000000000001,0.0662,0.341,146.72899999999998,229867,4,2
0uyDAijTR0tOuH24hxDhE5,0.444,0.865,11,-2.4330000000000003,1,0.0464,0.000106,1.55e-05,0.0366,0.74,188.03599999999997,169520,4,9
