id,name,popularity,followers,genre_0,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,genre_8,genre_9,genre_10,genre_11,genre_12,genre_13,genre_14,genre_15,genre_16,genre_17,genre_18
6Ff53KvcvAj5U7Z1vojB5o,*NSYNC,71,747136,'boy band', 'dance pop', 'europop', 'pop', 'post-teen pop',,,,,,,,,,,,,,
1bDWGdIC2hardyt55nlQgG,"""Weird Al"" Yankovic",59,337751,'antiviral pop', 'comedy rock', 'comic',,,,,,,,,,,,,,,,
0REMf7H0VP6DwfZ9MbuWph,10 Years,60,243895,'alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rap rock',,,,,,,,,,,,,,
0MBIKH9DjtBkv8O3nS6szj,"10,000 Maniacs",52,108829,'alternative rock', 'folk', 'folk-pop', 'lilith', 'mellow gold', 'new wave pop', 'pop rock',,,,,,,,,,,,
7urq0VfqxEYEEiZUkebXT4,112,68,455231,'boy band', 'dance pop', 'gangster rap', 'hip hop', 'hip pop', 'new jack swing', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary',,,,,,,,
17lzZA2AlOHwCwFALHttmp,2 Chainz,86,3463215,'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music',,,,,,,,,,,,,
58Dx4HPzeOO3dbpD9YYEes,2 LIVE CREW,50,135487,'electro', 'gangster rap', 'hip hop', 'miami bass', 'old school hip hop', 'rap',,,,,,,,,,,,,
1ZwdS5xdxEREPySFridCfh,2Pac,81,4746539,'g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap',,,,,,,,,,,,,
18JD8DVlD1fakDAw7E9LFC,2 Unlimited,53,59752,'bubblegum dance', 'eurodance', 'europop', 'hip house',,,,,,,,,,,,,,,
1URnnhqYAYcrqrcwql10ft,21 Savage,86,4928785,'pop', 'rap', 'southern hip hop', 'trap music',,,,,,,,,,,,,,,
2RTUTCvo6onsAnheUk3aL9,3 Doors Down,73,1785725,'alternative metal', 'nu metal', 'pop punk', 'pop rock', 'post-grunge', 'rap metal',,,,,,,,,,,,,
0RqtSIYZmd4fiBKVFqyIqD,Thirty Seconds To Mars,74,1939660,'modern rock', 'pop punk', 'post-grunge', 'rock',,,,,,,,,,,,,,,
41Q0HrwWBtuUkJc7C1Rp6K,311,65,397723,'alternative metal', 'alternative rock', 'funk metal', 'nu metal', 'pop rock', 'post-grunge', 'rock',,,,,,,,,,,,
2lFHVcUeJ9Gq6AZiU3ZAOa,3LW,49,207389,'girl group', 'hip pop', 'r&b', 'urban contemporary',,,,,,,,,,,,,,,
6EFL6smxzRtpwlQvZFldUc,3rd Bass,33,38652,'east coast hip hop', 'electro', 'hardcore hip hop', 'hip hop', 'hip house', 'rap',,,,,,,,,,,,,
12K3IF7yyYhFBcSBHjJegl,4 Hands 4 Him,4,36,,,,,,,,,,,,,,,,,,,
0Je74SitssvJg1w4Ra2EK7,4 Non Blondes,65,177634,'new wave pop', 'pop rock',,,,,,,,,,,,,,,,,
5Rl15oVamLq7FbSb0NNBNy,5 Seconds of Summer,85,3526448,'boy band', 'dance pop', 'pop', 'post-teen pop',,,,,,,,,,,,,,,
3q7HBObVc0L8jNeTe5Gofh,50 Cent,83,4548160,'east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap',,,,,,,,,,,,,,
