,external_urls,genres,href,id,images,name,popularity,type,uri,followers_2
0,{'spotify': 'https://open.spotify.com/artist/6Ff53KvcvAj5U7Z1vojB5o'},"['boy band', 'dance pop', 'europop', 'pop', 'post-teen pop']",https://api.spotify.com/v1/artists/6Ff53KvcvAj5U7Z1vojB5o,6Ff53KvcvAj5U7Z1vojB5o,"[{'height': 1173, 'url': 'https://i.scdn.co/image/c56cf0cc89c8ecfec7145cf065ea2006d0706605', 'width': 1000}, {'height': 751, 'url': 'https://i.scdn.co/image/b119bdb5ef8a56c1b4aaa552f3ed686fab4aaff0', 'width': 640}, {'height': 235, 'url': 'https://i.scdn.co/image/fc8b9594cca9210bb91ec1d63172ef021217905b', 'width': 200}, {'height': 75, 'url': 'https://i.scdn.co/image/02f562244708fb6e951a93b1b9131d2fb9bfba06', 'width': 64}]",*NSYNC,71,artist,spotify:artist:6Ff53KvcvAj5U7Z1vojB5o,747136
1,{'spotify': 'https://open.spotify.com/artist/1bDWGdIC2hardyt55nlQgG'},"['antiviral pop', 'comedy rock', 'comic']",https://api.spotify.com/v1/artists/1bDWGdIC2hardyt55nlQgG,1bDWGdIC2hardyt55nlQgG,"[{'height': 563, 'url': 'https://i.scdn.co/image/b0813085ef7141d31b47442be05647b7950fba2e', 'width': 1000}, {'height': 360, 'url': 'https://i.scdn.co/image/ec2807c3435008760af30c74db264c74e5b27562', 'width': 640}, {'height': 113, 'url': 'https://i.scdn.co/image/a5abaa3d9b5c7ea03ac5544827ed6c05efe395ac', 'width': 200}, {'height': 36, 'url': 'https://i.scdn.co/image/fe404806ca3b633fe1939c466c9911fea79f8164', 'width': 64}]","""Weird Al"" Yankovic",59,artist,spotify:artist:1bDWGdIC2hardyt55nlQgG,337751
2,{'spotify': 'https://open.spotify.com/artist/0REMf7H0VP6DwfZ9MbuWph'},"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rap rock']",https://api.spotify.com/v1/artists/0REMf7H0VP6DwfZ9MbuWph,0REMf7H0VP6DwfZ9MbuWph,"[{'height': 640, 'url': 'https://i.scdn.co/image/8840c822e61ef8ea2f09f57b21c6b18569e2af0e', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/773be880b9307220c3b407d63e0125cf0d230269', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/d65851d0ed022708620b3df1ed2b762f30728444', 'width': 160}]",10 Years,60,artist,spotify:artist:0REMf7H0VP6DwfZ9MbuWph,243895
3,{'spotify': 'https://open.spotify.com/artist/0MBIKH9DjtBkv8O3nS6szj'},"['alternative rock', 'folk', 'folk-pop', 'lilith', 'mellow gold', 'new wave pop', 'pop rock']",https://api.spotify.com/v1/artists/0MBIKH9DjtBkv8O3nS6szj,0MBIKH9DjtBkv8O3nS6szj,"[{'height': 640, 'url': 'https://i.scdn.co/image/0ef8206509549f21423bb86c7fc492080b351edf', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/3e6873a83c49e096149a2b3a0d837abfa55a4e9a', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/bbfc0893aae94ff965f22539ac3bb1a3d3045ad5', 'width': 160}]","10,000 Maniacs",52,artist,spotify:artist:0MBIKH9DjtBkv8O3nS6szj,108829
4,{'spotify': 'https://open.spotify.com/artist/7urq0VfqxEYEEiZUkebXT4'},"['boy band', 'dance pop', 'gangster rap', 'hip hop', 'hip pop', 'new jack swing', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']",https://api.spotify.com/v1/artists/7urq0VfqxEYEEiZUkebXT4,7urq0VfqxEYEEiZUkebXT4,"[{'height': 130, 'url': 'https://i.scdn.co/image/21a8b23a23a41f3736b2dd6a5df2d7dc8341ea05', 'width': 200}, {'height': 42, 'url': 'https://i.scdn.co/image/7c1bc55302710bb4e426aa9581a0b87296dadfd8', 'width': 64}]",112,68,artist,spotify:artist:7urq0VfqxEYEEiZUkebXT4,455231
5,{'spotify': 'https://open.spotify.com/artist/17lzZA2AlOHwCwFALHttmp'},"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",https://api.spotify.com/v1/artists/17lzZA2AlOHwCwFALHttmp,17lzZA2AlOHwCwFALHttmp,"[{'height': 640, 'url': 'https://i.scdn.co/image/8a0f9090548262a85cceef38650642d3037fd1e0', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/bb890de37c6783253a5c1789ccc7be5e2897c51d', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/6d96184a942c83524860133a8d87d35a324c7364', 'width': 160}]",2 Chainz,86,artist,spotify:artist:17lzZA2AlOHwCwFALHttmp,3463215
6,{'spotify': 'https://open.spotify.com/artist/58Dx4HPzeOO3dbpD9YYEes'},"['electro', 'gangster rap', 'hip hop', 'miami bass', 'old school hip hop', 'rap']",https://api.spotify.com/v1/artists/58Dx4HPzeOO3dbpD9YYEes,58Dx4HPzeOO3dbpD9YYEes,"[{'height': 1094, 'url': 'https://i.scdn.co/image/3012b11c767e5acc5cd2d9650cbd313375ee0818', 'width': 1000}, {'height': 700, 'url': 'https://i.scdn.co/image/d2e257ad5cb1df27e9cc156354106583a2eeef92', 'width': 640}, {'height': 219, 'url': 'https://i.scdn.co/image/d24e25f92196f087cd8aba2b0a8348d095208f59', 'width': 200}, {'height': 70, 'url': 'https://i.scdn.co/image/c8fb4ef54ac8102a82c4c25b5f65937bfe54cd6b', 'width': 64}]",2 LIVE CREW,50,artist,spotify:artist:58Dx4HPzeOO3dbpD9YYEes,135487
7,{'spotify': 'https://open.spotify.com/artist/1ZwdS5xdxEREPySFridCfh'},"['g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap']",https://api.spotify.com/v1/artists/1ZwdS5xdxEREPySFridCfh,1ZwdS5xdxEREPySFridCfh,"[{'height': 1000, 'url': 'https://i.scdn.co/image/fdb2382075f400ca2f2fbddaebb93add82ca8f32', 'width': 1000}, {'height': 640, 'url': 'https://i.scdn.co/image/e92cf49011e4c26f736cd479b0b64cb08f1b52c6', 'width': 640}, {'height': 200, 'url': 'https://i.scdn.co/image/0334d2f0cd1eb65f81831c4ddf4a0b249479564c', 'width': 200}, {'height': 64, 'url': 'https://i.scdn.co/image/c9baaaa56cc3e4c1b5b60e09632ba8b78ff52abd', 'width': 64}]",2Pac,81,artist,spotify:artist:1ZwdS5xdxEREPySFridCfh,4746539
8,{'spotify': 'https://open.spotify.com/artist/18JD8DVlD1fakDAw7E9LFC'},"['bubblegum dance', 'eurodance', 'europop', 'hip house']",https://api.spotify.com/v1/artists/18JD8DVlD1fakDAw7E9LFC,18JD8DVlD1fakDAw7E9LFC,"[{'height': 640, 'url': 'https://i.scdn.co/image/ec0088c72edeee1f6f4f7c97a55e8fb0e74e327f', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/f0f7ab64200368188aca531c0c5a06fa20a5e964', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/9632b771cdc8b54aa8e8d0b0f0b8b6d3895b0304', 'width': 64}]",2 Unlimited,53,artist,spotify:artist:18JD8DVlD1fakDAw7E9LFC,59752
9,{'spotify': 'https://open.spotify.com/artist/1URnnhqYAYcrqrcwql10ft'},"['pop', 'rap', 'southern hip hop', 'trap music']",https://api.spotify.com/v1/artists/1URnnhqYAYcrqrcwql10ft,1URnnhqYAYcrqrcwql10ft,"[{'height': 640, 'url': 'https://i.scdn.co/image/b0d670ac865dbfaf520997e7a8fadae15c7729bb', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/d664edbc9c83c443a56a5d97a44a105e27c20d20', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/b31d1b94f4da2d9647b351791b77e4c076262853', 'width': 160}]",21 Savage,86,artist,spotify:artist:1URnnhqYAYcrqrcwql10ft,4928785
10,{'spotify': 'https://open.spotify.com/artist/2RTUTCvo6onsAnheUk3aL9'},"['alternative metal', 'nu metal', 'pop punk', 'pop rock', 'post-grunge', 'rap metal']",https://api.spotify.com/v1/artists/2RTUTCvo6onsAnheUk3aL9,2RTUTCvo6onsAnheUk3aL9,"[{'height': 640, 'url': 'https://i.scdn.co/image/b6bde9a790ba351ba6304519df301ff909a69550', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/942ff2555a081b628f0a66fcd6998a5e73b5a3fb', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/cbebca19077e1d260af99733c7313d83f5c30a73', 'width': 160}]",3 Doors Down,73,artist,spotify:artist:2RTUTCvo6onsAnheUk3aL9,1785725
11,{'spotify': 'https://open.spotify.com/artist/0RqtSIYZmd4fiBKVFqyIqD'},"['modern rock', 'pop punk', 'post-grunge', 'rock']",https://api.spotify.com/v1/artists/0RqtSIYZmd4fiBKVFqyIqD,0RqtSIYZmd4fiBKVFqyIqD,"[{'height': 640, 'url': 'https://i.scdn.co/image/77c0b320fcd21be3329a0b2251409a2081247b57', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/e45c3f34b1a88245f5c8ef16c5b9fb6b0fe1c8a9', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/731ed9a97b37aa46ee522317ede95895c3f3ec89', 'width': 160}]",Thirty Seconds To Mars,74,artist,spotify:artist:0RqtSIYZmd4fiBKVFqyIqD,1939660
12,{'spotify': 'https://open.spotify.com/artist/41Q0HrwWBtuUkJc7C1Rp6K'},"['alternative metal', 'alternative rock', 'funk metal', 'nu metal', 'pop rock', 'post-grunge', 'rock']",https://api.spotify.com/v1/artists/41Q0HrwWBtuUkJc7C1Rp6K,41Q0HrwWBtuUkJc7C1Rp6K,"[{'height': 640, 'url': 'https://i.scdn.co/image/4fd4814f0c718f146cfdc04698fb399cfb07188f', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/99200fe0bc774d829aae772e53b1014e193bdefc', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/1d6496295d0694d917276ae7d3678cc5f8f2527c', 'width': 160}]",311,65,artist,spotify:artist:41Q0HrwWBtuUkJc7C1Rp6K,397723
13,{'spotify': 'https://open.spotify.com/artist/2lFHVcUeJ9Gq6AZiU3ZAOa'},"['girl group', 'hip pop', 'r&b', 'urban contemporary']",https://api.spotify.com/v1/artists/2lFHVcUeJ9Gq6AZiU3ZAOa,2lFHVcUeJ9Gq6AZiU3ZAOa,"[{'height': 1130, 'url': 'https://i.scdn.co/image/5e85efee28cdda6cff11faf197cd948dfa5f08bc', 'width': 1000}, {'height': 723, 'url': 'https://i.scdn.co/image/554255cbf4b16c11bdcfb85e9cbe6ec45970e37c', 'width': 640}, {'height': 226, 'url': 'https://i.scdn.co/image/a40ebee64868b784e85c9162acc653ccda9eee66', 'width': 200}, {'height': 72, 'url': 'https://i.scdn.co/image/2e6423afaaa9ad981f9e66c8cce57ec405c966b3', 'width': 64}]",3LW,49,artist,spotify:artist:2lFHVcUeJ9Gq6AZiU3ZAOa,207389
