id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
62bOmKYxYg7dhrC6gH9vFn,0.61,0.926,8,-4.843,0,0.0479,0.031,0.0012,0.0821,0.861,172.638,200400,4
46n2EGFnPC3tzWCN1Aqe26,0.55,0.587,2,-6.279,1,0.0329,0.354,0,0.128,0.466,165.975,284760,4
2AW37v0bDyuOzGP3XnmFuA,0.636,0.873,0,-4.672,0,0.071,0.0407,1.27e-06,0.0372,0.908,165.071,192427,4
594M0rqYMOo8BhMGEdoi5C,0.686,0.915,7,-4.447,1,0.0364,0.0028,7.16e-06,0.233,0.796,110.054,211000,4
0Jc8qF1mUPo1A96HE9QxZz,0.706,0.861,11,-6.684,1,0.154,0.0341,0,0.127,0.923,119.946,238427,4
5YTMRAT4yKgFrepF8Hi3mY,0.758,0.93,8,-3.22,0,0.0425,0.0503,0.000226,0.325,0.853,112.042,202107,4
72otaqywVqwyXaCjk75JKm,0.468,0.535,10,-8.264,1,0.0436,0.44,0,0.101,0.294,168.001,243493,4
1JbzBbwkf93dii20EC3EiZ,0.55,0.563,2,-7.019,1,0.0313,0.3,0,0.122,0.479,166.004,266293,4
6u5flhVFxKZrl9AApvf2SL,0.748,0.811,0,-5.213,0,0.0907,0.0866,1.45e-05,0.0282,0.862,93.963,253600,4
4CCUjYJPbSXLL23BFeBVbI,0.704,0.409,11,-8.581,0,0.0597,0.43,0,0.109,0.495,113.863,292000,4
60R2v9lheAu3lwZwAFxMZK,0.791,0.613,1,-11.628,0,0.0763,0.0986,0,0.0765,0.896,143.017,170640,4
5r96TaQquRrlo3Ym3ZlSL2,0.728,0.448,8,-10.54,1,0.172,0.103,0,0.267,0.483,80.902,202920,4
1SGnWl33MUNd9QHYAoqJtW,0.565,0.976,1,-4.373,0,0.0746,0.00719,7.79e-06,0.19,0.899,167.054,134373,4
5eZaT21ZVGyGHJ8kcwaNxA,0.59,0.635,4,-10.261,0,0.13,0.0101,0,0.0808,0.567,192.042,176800,4
4JqQWAr47pGEoaMArpA7Z3,0.897,0.43,7,-12.759,1,0.0551,0.0118,0,0.0473,0.964,121.987,223120,4
1nXCcO9Fp1mE0rzw39qOPY,0.497,0.74,7,-6.638,1,0.21,0.0861,3.45e-05,0.213,0.929,151.192,300682,4
74sUbOF9Zm8LdGUJjxleTl,0.487,0.429,4,-8.716,0,0.0391,0.332,0,0.207,0.508,143.582,328773,4
0WJTdVboKc2KI1DzzAWyYM,0.813,0.329,10,-14.814,0,0.211,0.00875,0,0.24,0.441,85.716,142947,4
4ZJGobiy4ayWSdKfoqMRlX,0.696,0.556,10,-11.442,1,0.404,0.276,0,0.234,0.792,192.073,176307,4
1ZqKCseNe8FIZRDyl2E2Ac,0.734,0.764,1,-10.757,1,0.0631,0.304,0,0.454,0.977,160.005,173093,4
3pO37BXsjMC2wApALxGbuB,0.391,0.801,6,-5.102,0,0.0813,0.000426,0.000208,0.0662,0.341,146.729,229867,4
0uyDAijTR0tOuH24hxDhE5,0.444,0.865,11,-2.433,1,0.0464,0.000106,1.55e-05,0.0366,0.74,188.036,169520,4
60OKW0mZiPFHVpHl3eHueg,0.448,0.84,1,-3.938,0,0.0361,0.0012,0,0.0883,0.235,157.985,215840,4
5vhT2fcFXcRPnJPQA0m1fv,0.388,0.924,1,-2.502,1,0.0674,4e-05,0.105,0.31,0.628,177.971,214133,4
6AgtIN7FyBd4zJhZI7mrsz,0.497,0.748,6,-4.5,1,0.0332,0.00227,0,0.136,0.274,131.944,195893,4
6TghWaPh1WHJKWXow7iujH,0.47,0.882,6,-3.906,1,0.0638,0.00347,1.62e-06,0.372,0.328,164.04,199680,4
3eFRjeJ74r4fmo0kXTdi8Y,0.304,0.79,1,-5.756,1,0.0371,0.000186,0.000442,0.204,0.542,150.383,194093,3
5fEyUL1sp1cJC4YErd29I4,0.414,0.442,6,-7.525,1,0.0309,0.756,0,0.0995,0.144,141.295,223613,3
1OA2d84wOUeYfTtuJmO6Zn,0.491,0.941,1,-3.234,1,0.0475,7.31e-05,0.0126,0.313,0.362,103.178,211280,4
2AMEArFOkOhRxTY3ahlPuc,0.29,0.834,5,-4.369,0,0.0488,6.84e-05,0.0089,0.1,0.494,162.61,210013,3
5VzvK7YiwWbRePA2JOzhYq,0.408,0.79,11,-8.138,0,0.103,0.26,0.00027,0.765,0.347,122.624,223373,4
786h4kDeZiX5nYvOwA3wtE,0.611,0.833,3,-7.554,1,0.0351,0.0218,0.000204,0.0923,0.793,108.498,219893,4
5nLhswlXx18vI65KkKKFgx,0.861,0.385,2,-10.057,1,0.0341,0.154,0,0.123,0.494,117.913,193560,4
19X5dUlxVWC5jDg3eOysMz,0.77,0.459,1,-17.453,1,0.0416,0.112,0.00343,0.145,0.963,133.351,236653,4
5v6b9RUk83Z33shcsqt1m3,0.616,0.762,6,-8.766,1,0.0266,0.018,0.00456,0.0872,0.779,124.637,245560,4
32xXojNvbRTQ9qfb3mWR69,0.622,0.876,10,-6.31,1,0.0305,0.0193,0.00684,0.0987,0.867,104.97,185960,4
