,Writer Name,IPI,PRO
1,CARRABY ANTOINE ,205786169,BMI
2,GREEN MARK ERIC,333982644,ASCAP
3,HENDERSON ANTHONY ,337563351,ASCAP
4,HOWSE STANLEY ,337563939,ASCAP
5,HOWSE STEVEN ,337564152,ASCAP
6,MC CANE BRYON ,337567143,ASCAP
7,SCRUGGS CHARLES ,337570160,ASCAP
8,SMITH YOMO ,—,BMI
9,WRIGHT ERIC ,128443479,ASCAP
10,BYERLEY JOEL DAVID,129389934,ASCAP
11,GOODMAN RICKY WAYNE,51925191,ASCAP
12,GUTHRIE ARLO ,34386778,ASCAP
16,HARRIS ANDRE ,339307459,ASCAP
17,RUCKER DARIUS C,336696625,ASCAP
18,SCOTT JILL H,342668158,ASCAP
19,CARNES CHARLES FREDERICK,19421500,ASCAP
20,WARINER STEVEN NOEL,75886523,BMI
21,ERWIN EMILY BURNS,239225470,BMI
22,MAGUIRE MARTHA ,431655862,BMI
23,PASDAR NATALIE MAINES,432574660,ASCAP
24,WILSON DANIEL DODD,341687551,ASCAP
25,DENVER JOHN  ,7964275,ASCAP
26,LENDESBORT LUIS IVAN,495752310,ASCAP
27,BROWN LENNOX M,339518442,ASCAP
29,LENTZ SARAH JOY,341784065,ASCAP
30,KRAVITZ LEONARD A,128948341,ASCAP
31,LENNON JOHN CHARLES JULIAN,121811908,ASCAP
32,LENNOX ANN ,51531510,PRS
33,DELIUS (NON-PROTECTED SHARES) FREDERICK,7845971,NS
34,LLOYD WEBBER JULIAN,121779672,PRS
35,LENDYAK MICHAEL WAYNE,460937050,ASCAP
36,LENZ DANIEL  ,335823070,ASCAP
37,DAVIS KATHERINE K,7616203,ASCAP
38,ONORATI HENRY V,22949382,ASCAP
39,SIMEONE HARRY ,28755756,ASCAP
40,BUXTON SARAH ,401904597,BMI
41,STELLA LENNON  ,756779674,SOCAN
42,YORK KATE ,296858398,BMI
44,LENA RAINE  ,874347700,ASCAP
45,DONALDSON WALTER ,8463689,ASCAP
46,LENTINE CHRISTOPHER ,493843220,ASCAP
47,LENDINO SETH NICHOLAS CHARLES,649988268,ASCAP
48,LENKER KORBY ANDREW,346049169,ASCAP
51,MARSDEN STEVEN ,432753073,PRS
52,VARNEY WILLIAM P,336885426,ASCAP
54,SALCEDO ABREU LENNY RAFAEL,599281493,ASCAP
56,ACOSTA SEGURA GUILLERMO,58758236,SACM
58,STEPHEN LEONARD ,345582449,ASCAP
59,MILLER DENZIL ,4605816,ASCAP
60,COTTIS JASON STEVEN,775181909,BMI
61,ELDREDGE MATTHEW ERIC,539278711,ASCAP
62,LENTZ DAVID WALLACE,340976745,ASCAP
63,SKELTON JEFFERY SCOTT,539278123,ASCAP
67,LENESCHMIDT BRIAN LEE,345370077,ASCAP
68,LENNON JOHN WINSTON,17798450,PRS
69,MCCARTNEY PAUL JAMES,18873266,PRS
71,MALOY KRISTOPHER E LEE,490707149,ASCAP
73,LE BLANC LEONARD J,39605866,ASCAP
74,BROWN JULIAN PAUL,887579943,PRS
75,RICE LENORA E,480287933,ASCAP
78,BOWEN MATTHEW NIES,463174065,ASCAP
79,LENNERTZ CHRISTOPHER J,248495627,BMI
81,JONES ANDRE N,497073518,ASCAP
82,MALOTTE ALBERT HAY,19281488,ASCAP
83,SMITH MARTIN JAMES,264879515,PRS
84,ANDREWS NICOLETTE ALISON HOPE,648679584,ASCAP
85,LENTIN JAYE ,648678979,ASCAP
86,JORNS LEONARD PATRICK,349269035,ASCAP
87,LENTIL ED ,547819511,GEMA
88,ANDERSON MAXWELL ,901739,ASCAP
89,WEILL KURT ,32649586,ASCAP
91,ANQUETIL PHILIPPE-MARC ,291532270,APRA
92,CHEN RAOUL LIONEL,487679578,PRS
93,GONTER VAN SERGIO M,482487421,BUMA
95,TUOHEY ALFRED DALE,285712153,STIM
97,BLANE RALPH ,3346818,ASCAP
98,MARTIN HUGH ,40204149,ASCAP
99,GADDIS WILBUR GERRELL,340054507,ASCAP
101,TILLIE CHRISTOPHER W,346652058,ASCAP
107,MOORE JOHNNIE MORRIS,341400807,ASCAP
110,WADGE AMY VICTORIA,291821850,PRS
112,LENIUS TYLER JOE JAMES,717947998,ASCAP
113,COSTANZO MARC FRANCIS,257692527,SOCAN
115,DOORNINK LEAH HELENA,580540653,ASCAP
116,KEUP CHRISTOPHER WAYNE,345236962,ASCAP
117,WRIGHT JONATHAN MARK,562027667,PRS
118,DELUXE LENA  ,574974595,SACEM
121,ANDERSON JARED GORDON,434388642,ASCAP
122,LE-BLANC LENNY  ,46413004,ASCAP
123,STRAYHORN BILLY ,29756257,ASCAP
126,TRISTANO LEONARD JOSEPH,85636252,ASCAP
127,MEYER-LANDRUT LENA ,631213101,GEMA
128,RAAB STEFAN ,225926463,GEMA
129,HANLEY CORNELL C.,700050025,ASCAP
131,ROSS CRAIG DAVID,205212623,BMI
135,GUMBS TRENTEN W,128092972,ASCAP
136,MCLEOD ADAM E,671911243,ASCAP
137,LENOVER MARK GRAYSON,657100562,SOCAN
141,STINSA LENA NATALIA,788981553,ASCAP
142,LENNON MICHAEL JAMES,431586460,ASCAP
143,KRAVITZ LENNY  ,128948439,ASCAP
145,MYERS TIMOTHY JOHN,483094930,ASCAP
146,CHAPPELL LESLIE JAMES,46721778,PRS
147,PREMILOVICH LILI MARLENE,65056386,PRS
148,COOK JAMES SCOTT,340631889,ASCAP
152,ENDRIGKEIT STEFAN ,264686432,GEMA
153,GADE STEPHAN ,223942087,GEMA
154,KOCH THOMAS ,284206666,GEMA
156,LENTINI KARL ,426990823,ASCAP
158,GRAHAM LEONARD ALAN,127819753,ASCAP
159,FINN LEA ,438648619,GEMA
162,SANTOS FAUSTO RENE,681095237,ASCAP
163,DAVEY LEE ,776802505,PRS
164,BREDE LENNART ,284353944,GEMA
165,COWARD NOEL ,7011052,PRS
166,RAINEY LEN ,847737591,ASCAP
170,HART CHARLES CLINTON WILSON,145662076,PRS
171,LLOYD-WEBBER ANDREW ,135186578,PRS
172,STILGOE RICHARD HENRY ZACHARY SIMPSON,41379588,PRS
173,JAMES ROBERT M,34494089,ASCAP
174,JAMES CHAYMON ROHAVEN,422783068,ASCAP
176,MC KEEVER JAMES K,346052088,ASCAP
177,BERRY JAMES D,337737341,ASCAP
178,PARKER JAMES DEFOREST,334344972,ASCAP
179,JAMES MICHAEL WILLIAM,806648228,ASCAP
180,FOUNTAIN JOHN REGINALD,129487249,ASCAP
181,WEBB WILLIAM JOSEPH,129556847,ASCAP
182,FETTKE TOM E,127039295,ASCAP
183,CURNOW PAUL RONALD,336594342,ASCAP
184,DP  ,39657154,NS
185,TAYLOR JAMES V,340505107,ASCAP
186,CATTON JAMES ROBERT,441197172,ASCAP
187,ADAM AMY ELISABETH,447831241,ASCAP
189,HANNICKEL MICHAEL ROBERT,338857518,ASCAP
191,WAMMACK JAMES ,470599131,ASCAP
192,MOSLEY SETH DAVID,563592035,SESAC
193,SMALLBONE JOEL DAVID,548583706,ASCAP
194,SMALLBONE LUKE JAMES,552394738,BMI
196,FOSDICK JONATHON DAVIA,528654332,ASCAP
197,CURD JAMES WILSON,343910573,ASCAP
198,AIKMAN JAMES WHITTON,127792551,ASCAP
199,INGERSON SCOTT JAMES,513986924,ASCAP
200,COLINA MICHAEL (ALAN),39867728,ASCAP
201,RISENHOOVER MAX STEVEN,129180677,ASCAP
202,COFFEY JAMES BRIAN,347983316,ASCAP
204,JAMES DANA NICOLE,455045466,ASCAP
205,MATTHESON-MARGULLIS HOZOJI ROSEANNE,734804343,ASCAP
206,VERELLEN BENJAMIN JAMES,453622073,ASCAP
207,LYONS CHARLES JASPER,529124657,ASCAP
208,SIEMER JOHN CALVIN,363238954,ASCAP
210,SAFT JAMES DANIEL,468882985,ASCAP
212,SMITH JAMES WESLY,126362785,ASCAP
213,FOUNTAIN JAMES D,500206523,ASCAP
214,JAMES KENNETH ,722973038,ASCAP
215,JOHNSON BRUCE KEVIN,402641400,ASCAP
217,KAUFMAN JAMES H,403076988,ASCAP
218,LYON DUSTIN HENRY,403077100,ASCAP
219,MALLIN ELIAS C,403077397,ASCAP
220,UNDERWOOD RON RYAN,403077002,ASCAP
221,DREES MICHELE MARIE,444337168,PRS
222,JAMES SIMON PATRICK,47944549,PRS
223,RICHARDS JAMES E,607990031,ASCAP
224,HANNIGAN JAMES ANTHONY JOHN,250756862,PRS
225,DUBOSE JAMES ,527484140,ASCAP
226,JAMES ROBERT DOUGLAS,637679300,ASCAP
227,JAMES TERRELL QUARTEZ,798007997,ASCAP
230,LANTZ JAMES KENT,897532483,ASCAP
232,JAMES CORY ,333986436,ASCAP
234,CALVERT CRAIG LAMAR,129746841,ASCAP
235,JAMES-CALVERT JANETTE ,806814732,ASCAP
236,TORTOROLI PHILIP ,648463907,ASCAP
237,BURT JAMESON WILLIAM,506085373,ASCAP
238,BROWN PAUL RAYMOND,232440016,BMI
239,CARRUTHERS JEFFREY N,127638954,ASCAP
240,OPPENHEIM JAMES A,202826794,BMI
241,YEGANEH JAMES ,823674526,NS
243,STELLHORN JAMES MARTIN,347293739,ASCAP
245,SWISHER JAMES BENJAMIN,564259137,ASCAP
246,MARTIN JAMES RANDALL,517111395,ASCAP
247,EDU AUGUSTUS ENOS,349895498,ASCAP
248,QUAYE JAMES EKOW,403031036,ASCAP
249,JAMES CHRISTOPHER STEPHEN,429667321,ASCAP
250,WILLIAMS GARETH GOW PRIOR,181360093,ASCAP
251,GOLDMAN JAMES PHILLIP,749646787,ASCAP
253,RANKA JAMES ARTHUR,337932542,ASCAP
254,WOODCOCK JAMES ,679443989,PRS
256,GIBBS RHEA TAMARA,507208184,ASCAP
258,JAMES RONALD C,468436520,ASCAP
260,SOWERS JAMES JOESEPH,346845435,ASCAP
261,RUSSELL COLIN JAMES,714183559,PRS
262,HOLSTEIN JEFFREY JAMES,583848893,ASCAP
263,KEOUGH JAMES E,793505711,ASCAP
265,ESTRADA ERIC MATTHEW,579473691,ASCAP
266,ESTRADA JAMES PAUL,623045973,ASCAP
269,BULLARD JAMES ROBERT,343377754,ASCAP
270,GELD GARY ,40134828,ASCAP
271,UDELL PETER DAVID,31253819,ASCAP
273,JOHNSON JAMES A,125629673,ASCAP
274,THOMPSON JAMES BARCLAY,575923413,ASCAP
275,KELLEY JAMES STANLEY,828698283,ASCAP
276,LAWSON HERB ,128312202,ASCAP
277,THOMAS HENRY WILLIAM,48943056,ASCAP
279,WISE JAMES MASON,348500469,ASCAP
280,DATZ MICHAEL JONATHAN,341493471,ASCAP
281,DUELL BOBBIE ,473169341,ASCAP
283,LATTANZI JOSH ,518973221,ASCAP
286,KERNICK JAMES ,348621257,ASCAP
287,LOBUE JAMES ,422424101,ASCAP
290,GODWIN JAMES RANDALL,426520283,ASCAP
292,FEDERICO JAMES JOSEPH,448494810,BMI
293,NUNN JAMES STEWART,844379506,PRS
295,NOTORIS ROBERT ,474080653,ASCAP
296,SHAGAWAT JAMES DONOVAN,338700172,ASCAP
298,MILLER JAMES WELLS,402569278,ASCAP
299,WEARY CEDRIC G,508676430,ASCAP
300,COOPER JACOB MAUNEY,468874787,ASCAP
301,CARLSON ROBERT RALPH,508684138,ASCAP
302,LANDAU RUSS M,125633589,ASCAP
303,RALEIGH BEN ,25296682,ASCAP
304,WAYNE BERNIE ,32583495,BMI
305,RUSSELL LUTHER ,336174076,ASCAP
306,KROMER TRISTAN L,343389450,ASCAP
307,JONES LEONARD MILTON,447356929,ASCAP
309,STEWART RUSSELL E,343626860,ASCAP
312,RUSSELL DESHAWNTREA OSCARTRELLE,771048247,ASCAP
313,RUSSELL JENNIFER RUTH,128829645,ASCAP
315,HIRSCHBERG JAY SCOTT,464404954,ASCAP
316,LENTZ PATRICK ,511684075,ASCAP
317,RUSSO MATTHEW ,429758415,ASCAP
318,BRISTOL JOHNNY WILLIAM,4241146,ASCAP
320,COOK BRIAN ,437763235,ASCAP
321,SULLIVAN MICHAEL BARRETT,507837145,ASCAP
322,TURNCRANTZ DAVE PAUL,507837047,ASCAP
323,RUSSELL ALAHN D,529146937,ASCAP
324,CARDWELL RUSSELL ALAN,471758428,ASCAP
327,RUSS-AYON ANGELA ,572933721,ASCAP
328,MURRAY ALISTAIR RUSSELL,530236885,ASCAP
331,RUSSO DANIEL THOMAS DOUGHERTY,346837237,ASCAP
332,RUSSO JEFFREY ,345514667,NS
334,GASBARRO MARK F,128600592,ASCAP
335,RUSSOMANNO-SCHUNK MARGARET ANNE,552895808,ASCAP
336,RUSSELL DAVID G,337727737,BMI
337,LEBLANC JAMES ELWOOD,337861048,ASCAP
338,SMITH HOWARD RUSSELL,89246734,ASCAP
339,WHITE JOHN PAUL,530999327,BMI
340,RUSSELL THOMAS G,128621973,ASCAP
341,RUSSO SAMANTHA ELLEN,635270065,ASCAP
342,BOYD JUSTIN A,494453034,ASCAP
343,BRIDGES C R,125760777,ASCAP
345,RUSSO ALESSANDRO ,427390945,SIAE
346,WOODLAND TERRA TAMICA,605236672,ASCAP
348,KOONSE JOHN J,63400315,ASCAP
349,HART MATTHEW ADAM,289994574,SOCAN
350,DAVIES RUSSELL THOMAS,440458960,PRS
351,RUSSELL ROBERT L BOBBY,27069193,ASCAP
352,WORKMAN RUSSELL ,346024682,ASCAP
353,RUSSO ANTHONY ALEC,773745013,ASCAP
354,OSSAOULENKO KONSTANTIN N,446266152,ASCAP
355,VOROBEV SERGEJ NIKOLAEVICH,479363509,RAO
356,WILSON RUSSELL B,339535933,ASCAP
358,GUTTERNIGG RAINER ,692376900,AKM
359,LEONARD MICHELLE ,258974214,GEMA
360,MAKAZARIA GEORGIJ ,268985200,AKM
366,SCHWEIDEL RUSSELL JAY,342339868,ASCAP
367,RUSSO PAUL ,216999035,SOCAN
368,SHAW GEORGE W,126461293,ASCAP
369,SMITH STANLEY A,127086088,ASCAP
370,RUSSELL CHARLES ARTHUR,87477917,ASCAP
372,MADDEN KARRA ,785677082,BMI
373,RUSSO ELIZABETH ,594674498,ASCAP
374,STEFANICK REID ,643446544,BMI
375,RUSSELL CHAD MICHAEL,729011071,ASCAP
376,RUSSELL STEVE ,420190899,PRS
379,HORNSBY BRUCE RANDALL,49898118,ASCAP
380,HOLLIHAN JAMES ,125344597,ASCAP
381,TAFF RUSSELL DEE,38227192,ASCAP
382,HO CHRISTOPHER GENE,125038503,ASCAP
383,NELSON ANTHONY R,824072948,ASCAP
384,RUSS TIMOTHY DARRELL,348288036,ASCAP
385,REVIS STEVEN L,339160270,ASCAP
386,DAVIDSON MICHAEL SCOTT,456245156,BMI
387,KING BO  ,402910106,ASCAP
388,KING ROBERT PAUL,348139646,ASCAP
389,MCKEE RUSSELL ALAN,611503891,ASCAP
390,RED CAFE  ,645851131,ASCAP
391,GLENN RUSS  ,438107271,ASCAP
393,NORKEVICH RUSSELL LEE,785319504,ASCAP
400,JOHNSON CHRISTOPHER CONRAD,435928238,ASCAP
402,FORD CHRISTIAN ANTHONY,523698726,ASCAP
405,KOSLER CALVERT RUSSELL,209342781,BMI
406,LANVAIN EMMANUEL ,149775230,SACEM
408,SNIDER DOUGLAS A,86441855,ASCAP
409,HARRIS RUSSELL A,467683015,ASCAP
412,HOWARD RUSSELL L,459387405,ASCAP
413,LEACH RYAN WILLIAM MICHAEL,478597876,ASCAP
414,MCCONNELL IAN RUSSELL,778559568,ASCAP
415,HEFTI NEAL ,13698087,ASCAP
417,KOHLSCHMIDT KAI UWE,213925877,GEMA
419,CARPENTER MICHAEL JOSEPH,160831881,APRA
420,CRAWFORD RUSSELL ,466215651,APRA
421,ROBSON JOSEPH RUSSELL,710209592,SOCAN
425,RUSSELL SEAN O'BRIEN,453132780,ASCAP
426,BZOZA RUSSELL JOHN,349226844,ASCAP
427,KAPLAN RUSSELL ,513215794,BMI
432,RUSSELL BRENDA GORDON,89235937,BMI
433,HOWARD RUSSELL WILLIAM,345120793,ASCAP
435,RUSSELL CHRISTOPHER ALTON,801308975,ASCAP
437,JENKINS MATTHEW KYLE,429753920,ASCAP
438,RAMSEY MATTHEW THOMAS,471015684,ASCAP
439,ROSEN TREVOR JOSEPH,460542963,ASCAP
440,TURSI BRAD FRANCIS,346852342,ASCAP
441,PEIRCE MELISSA  ,540577452,BMI
442,SINGLETON JONATHAN DAVID,460147576,ASCAP
444,COPPERMAN ROSS ,438695118,BMI
445,MCANALLY SHANE L  ,431023417,NS
452,SELLERS WILLIAM WHITFIELD,719788781,ASCAP
453,SPRUNG GEORGE GEOFFREY,719788977,ASCAP
455,DORFF ANDREW M,244349174,BMI
456,OSBORNE JOSH  ,189588888,ASCAP
467,JENKINS MATT  ,429754035,ASCAP
470,OSBORNE JOSHUA SHAUN,189588790,ASCAP
473,HUNT SAM LAWRY,553736828,ASCAP
476,MC ANALLY SHANE ,817256139,NS
488,SCHMIDT JORDAN JEREMY,675128234,BMI
490,FRASURE JESSE ,558679683,BMI
501,MELLENCAMP JOHN ,75198254,ASCAP
505,HARDING JOHN THOMAS,187091351,ASCAP
511,LAIRD LUKE ROBERT,434387547,NS
532,MC ANALLY SHANE L,479768183,NS
538,ROBBINS JAMES MICHAEL,582711444,ASCAP
552,CAMPBELL MICHAEL W,79218747,NS
553,PETTY THOMAS EARL,59399329,ASCAP
554,FORSYTHE BRIAN JAY,120023356,BMI
555,SCHENKER MARK ,509654340,ASCAP
556,BRILEY MARTIN STEVEN,68299725,ASCAP
557,HALLIGAN ROBERT SIDNEY,48188359,ASCAP
558,PURNELL DONALD KEVIN,120064925,ASCAP
559,GILDER NICHOLAS GEORGE,87196143,SOCAN
560,HERNDON JAMES LYNN,59874719,ASCAP
563,RHODES TAYLOR LAURENCE,138877918,ASCAP
564,KNIGHT HOLLY ,79231858,ASCAP
565,LEIGH AMANDA BLUE,338649232,ASCAP
568,SCOFIELD KENT WILLIAM,526379728,ASCAP
569,EHRLICH DIMITRI ,344553072,ASCAP
576,PALUMBO JOHN ,89462532,ASCAP
578,GOLDE FRANCINE VICKI,36868841,BMI
579,MC IAN PETER R,76460563,ASCAP
580,STEELE WILLIAM MITCHELL,62122616,BMI
581,HENGBER LIZ  ,429864026,ASCAP
582,KLINE ALEX ,564257731,SESAC
583,STENNIS BEN ,628771712,BMI
600,AKINS RHETT ,182256666,BMI
601,DAVIDSON DALLAS ,459219138,BMI
602,HAYSLIP BEN  ,183581844,ASCAP
607,GALPIN ROBERT JAMES,511647572,ASCAP
609,STEGALL CRAIG HOLLAND,687876855,ASCAP
610,ANDERSON GARY STEPHEN,43452698,APRA
611,COCKS MICHAEL THOMAS,43455689,APRA
612,LEACH GORDON ,43458778,APRA
613,ROYALL DALLAS LESLIE,43461795,APRA
614,WELLS PETER WILLIAM,43463985,APRA
622,REEDE JON D,125843281,ASCAP
623,TANNER MARC L,351400212,BMI
631,BROOKS LEON E,235438471,BMI
632,RUST VERNON WAYNE,127239187,ASCAP
635,BROOKS KIX  ,51310727,BMI
636,LANE TONY MAC,335587049,ASCAP
637,LEE DAVID CORY,182673843,BMI
644,FRANKLIN NICOLE S,336595241,ASCAP
645,RICHARDSON ALBERT GLEN,129132002,ASCAP
646,SCOTT PETER L,128959040,ASCAP
653,BERRYMAN GUY RUPERT,280535764,ASCAP
654,BIRGISSON JON THOR,248203385,PRS
655,BUCKLAND JONATHAN MARK,280535470,ASCAP
656,CHAMPION WILLIAM ,280536173,ASCAP
657,DYRASON ORRI PALL,285716729,PRS
658,ENO BRIAN PETER GEORGE,77467634,PRS
659,HOLM GEORG ,248202976,PRS
660,MARTIN CHRISTOPHER ANTHONY JOHN,280536565,ASCAP
661,SVEINSSON KJARTAN ,431661968,PRS
662,FRANGIPANE ASHLEY ,739536702,BMI
663,GILLUM GERALD ,549516131,ASCAP
664,GWITIRA DAKARAI ,722188745,BMI
665,KHAJADOURIAN JOE ,349913136,ASCAP
666,LAVIGNE JAMES WILLIAM,585871201,ASCAP
667,LOVE MADISON EMIKO,765123346,ASCAP
668,MACHUCA EDGAR ,868507397,BMI
669,SCHWARTZ ALEX ,560671941,ASCAP
670,COHN MARC ,129703376,ASCAP
671,LEVENTHAL JOHN B,128754065,ASCAP
675,WHITE KENNETH PAUL,85640462,ASCAP
681,MORRISON GEORGE IVAN,462202688,BMI
687,SILVERSTONE MICHAEL ALAN,535410969,ASCAP
689,GATES DAVID ASHWORTH,11489698,ASCAP
694,GARCIA JEROME J,41050341,ASCAP
695,HUNTER ROBERT C,41051926,ASCAP
696,HAM PETER WILLIAM,55312011,ASCAP
698,GALDSTON PHILIP EDWARD,41210935,ASCAP
709,COSBY HENRY ,6878564,ASCAP
710,ROBINSON WILLIAM ,581618826,NS
711,WONDER STEVIE ,581621451,ASCAP
715,BROWNE JACKSON ,581172355,ASCAP
718,SALEM KEVIN J,217895242,BMI
723,ISLAM YUSUF ,46831377,PRS
725,PHILLIPS WHITNEY LAUREN,623677043,ASCAP
726,RINEHART NATHANIEL ,473501467,BMI
727,RINEHART WILLIAM ,474524934,BMI
728,ZMISHLANY IDO ,454422959,BMI
729,MONTROSE RONNIE ,69547534,BMI
730,TURGON BRUCE  ,51235415,ASCAP
731,MENSINGER ERIC ,345742063,ASCAP
733,PHILLIPS RICKY LYNN,135423890,BMI
734,SHAW TOMMY (R),10343936,ASCAP
735,TIOMKIN DIMITRI ,30676399,ASCAP
736,WASHINGTON NED ,32541024,ASCAP
